term,tf-idf
업그레이드,1009.5934368806131
이벤트,1007.702696730053
세이브,1000.5163965930265
건설,998.8610763742846
혼자,995.2686297740781
참고,989.4085932825038
도시,989.162007907819
효과,984.247994950556
속도,982.186259866387
지금,980.1315867375018
세계,975.2090902142112
제작,972.658056619897
노리쇠,972.1173248413538
이번,971.0320021230801
기준,967.3039694508758
매력,964.2397337855061
동물,943.4417267252192
재료,942.845381073968
순간,937.4394150091812
개발,936.4765297774355
대화,931.3570902947454
생존,931.1955463936142
자동,930.783098026878
나중,928.6474082978997
의미,926.8339014954221
해당,922.2953982876375
수집,919.7401121975665
설치,918.9673208267092
구성,918.7981244773857
힐링,916.7062315471724
등장,915.7580224814747
인물,908.9237328380644
효율,908.2952076027929
모습,906.7363616924983
옵션,902.3895838359197
이용,901.3856990227493
고민,900.133455324757
익스큐즈미,898.5958464920078
방아쇠,897.1087163240876
모바일,893.7868990028393
영상,892.5247114497494
제일,892.5194230080718
흥미,892.0790576047312
탐험,891.671027425043
생산,890.9399313176801
위치,890.1373821115468
사건,887.7836618075637
지도,882.594218075241
보니,882.3080562793531
기억,880.6961151734137
최대,880.5820068521023
개선,880.4232409059413
무료,879.6758767946488
전진,879.3305812220265
서버,873.8369814007145
마법,869.1180749092972
세상,868.0823506876495
본인,867.0786627632277
취향,862.0769476791481
가죽,859.3095961116147
던전,857.0469361250375
월드,854.2554430572573
음식,841.8937872358433
타워,838.3628109158942
상대,837.4580859157547
밸런스,836.4966459128732
정신,835.1262674064913
인지,834.6371343121284
사운드,834.0839968619181
한국,823.3063860383044
이름,822.0221383373853
어려움,821.7283581788785
표현,820.8897585527153
완료,819.8588330448896
기분,817.9028498732549
수정,817.0154088499459
업적,808.691242327504
인간,808.3917578861374
토스터,799.9219387223114
비주얼,798.9913188055684
미션,796.2319133002864
단계,795.9937309537705
점수,795.2032207861016
시점,792.2942521776395
추리,790.6640145168436
감사,789.6625312621732
편의,789.5314320961775
거리,784.6960647042738
거지,784.5878217116051
마우스,780.5057058496164
제작자,780.189987059379
컨셉,778.6841428775066
성장,776.1208423336074
공간,775.7821340251452
메인,775.1918784089733
버튼,774.88299033813
디펜스,773.9742119328218
컴퓨터,773.3976670259061
관리,772.0868480888312
랜덤,770.7982273975849
최적화,769.0893124014391
하루,762.5624694059067
신경,759.2056976422648
하면,758.9420056116988
구간,752.9763030646928
일반,752.7280047815897
행동,750.9957959596745
최종,750.5160792440745
방향,749.3350158197426
요구,749.0618150918168
연구,747.4767760839303
영어,747.1706598415901
포함,742.3311834382538
힌트,741.3634441313419
전략,739.7239263126527
기존,739.228659809212
일부,737.2440215665368
수도,736.4662149983609
주민,736.3458932102154
좀비,732.626244108753
증가,730.5008817482812
표시,729.0999396239259
직업,728.1299508658213
스타일,727.8873436575075
조절,726.0633136321437
제외,725.1970278741982
차이,725.1674566535543
소울,722.6867641541409
완벽,720.5083510707491
아아,715.7091029458621
언어,713.9597024275564
비교,713.5025585909129
손님,710.9182221565135
회피,707.7029977129991
활용,707.3621660962383
발전,702.3448962852807
제한,702.0859927734577
상자,701.3430527640601
회복,699.2504720155545
정보,699.2027534619992
중반,698.9070965468914
세계관,698.3511830886429
저장,696.4038937966772
기술,696.1069421667173
볼륨,695.9932933494181
아래,695.727214468104
환자,692.7321144205703
유지,691.8648810486403
패드,689.7581158235155
직원,683.7669067823774
획득,683.4993393142622
대신,680.4497325675336
감자,679.0812857648586
후속작,678.0016803415281
완성,675.026635693207
발생,673.2766519604529
자연,672.0476216553279
스트레스,672.0260543720109
유물,671.0161597261188
영화,668.9872378234996
탈출,666.8090206292433
무한,665.9027551939727
숫자,665.1224462824318
구입,664.943110309333
메트로,660.1588459370405
시설,659.8351740038972
대사,658.404367261124
컨트롤,656.559198862949
주의,653.5140058520235
타격감,652.8937343778118
목표,650.5308191239511
다회,649.1959145721572
후반부,648.540280338031
약간,646.7213512622989
회사,646.5519004020882
차량,645.101416858179
짜증,642.4191242684209
분량,641.589275984117
인해,640.4232777106198
한번,639.4781096988157
이전,639.405910192425
변경,639.3452301504827
도움,636.1846648055036
사양,633.6271718075301
만원,630.7688105316774
상점,630.2445111151006
필수,629.5773139781702
특징,627.4564594009831
집중,627.2243174138769
리듬,627.144788533144
상호작용,626.9555052221842
데미지,625.3302221262046
구멍,623.163447561858
운영,623.1415771022969
결론,620.5152406875247
사랑,620.4465707468452
준비,620.111868596779
판매,617.6018153094574
식량,615.6251842884288
중독,615.5585729074855
인생,614.4615843371452
인상,614.4615843371452
장면,613.2265525530853
창고,612.3270414756166
작업,612.2181151394872
제공,611.1132683497616
결과,610.7901217959378
모션,604.1143533739825
물고기,602.4184828389901
적용,602.2817385475562
발견,601.5235302608829
구조,601.0256901290303
버프,598.993513145785
자동화,597.6140582575662
있다,596.4024155895762
대비,594.7593607688286
초기,594.7026409104598
감정,593.9373569213589
확률,592.4318517970946
영향,592.1368970811347
연결,589.8439355777466
파악,588.7407441460686
정가,587.9553303301863
입장,583.5442487249603
가치,583.4413103722391
정리,581.9263530514166
학교,580.6549531234296
루트,579.4928802048915
정식,576.6160121021549
아쉬움,575.6135442086128
조건,572.9429793985057
점프,572.1613300342648
나머지,567.9281114108363
라인,566.2439019253034
전쟁,564.7980078817507
구현,564.759346524023
과거,564.3202150567421
개성,561.9237551909856
공장,560.2605985569796
기믹,559.3700377316829
주변,557.1231150373417
제거,556.9065766559912
보상,556.2375935714958
하드,556.2375935714958
실제,555.952374043898
조각,554.2615461632737
최대한,552.4804224120305
여자,551.8640372932889
디테일,551.5132599984047
레이크,549.591500004726
슈팅,547.5914371614446
감성,544.3827173706801
도구,544.0189258341543
파일,542.5985771533182
채집,541.142240494707
시뮬레이터,538.7677018139661
사기,538.694482304556
노래,536.0537912315315
라면,535.0624518349682
절대,534.3606535179551
타일,534.3097710130982
키보드,534.2783137999558
공식,533.8538841647756
텍스트,533.370731387874
성격,532.3898602842515
똥침,531.6201319982015
판정,531.3133649445211
어드벤처,527.216501732983
우주,526.5491731972666
모험,526.141636611476
결말,526.141636611476
오브,525.9294652329522
아이,524.718796456269
해서,524.6242666601635
동시,524.4051428521248
커피,524.2562830872128
특유,523.3251059076165
쓰레기,522.3796530932309
처리,522.1458200287798
부담,522.0682144311654
형식,520.914168506101
골드,517.3107764190554
제작사,515.9870178788137
방어,515.5135128400761
장소,515.5135128400761
스킵,511.6877098119164
적응,511.5320361500356
지장,509.86826448109156
역할,507.67501173960017
현상,505.50354171696785
명작,504.2214288003318
니아,503.43038871772677
유닛,502.41227129191225
권장,502.14612722985146
노력,500.5850868035622
원거리,500.2087827189477
확장,499.61819378509995
시도,498.8869920289876
선물,498.31707046237324
게이머,496.8978494580632
완전,494.69037572158646
병원,494.5207455121228
관심,494.22449677638025
흐름,493.3585612547181
변화,493.3585612547181
영웅,492.9941231565709
지형,492.7774922988685
바다,492.71910385139216
오버,491.3964341937369
필자,490.0754137382682
예전,489.95101100409596
사이,488.8253167392804
계속,488.5172167841902
수록,487.4609650240578
얼마,485.4438266426783
바람,485.11737785579584
가족,485.11737785579584
환불,484.07943987773405
위주,483.68486397521383
작성,482.5014182105136
방치,482.29286480314784
요즘,481.8858069451958
액체,481.6110010933463
완성도,479.73835920701686
구역,477.05055105528754
예상,476.51849609185246
사냥,475.4398895392421
소재,475.11675903692753
감동,474.24253378760733
최근,472.4370656325449
성능,470.0079766816918
속성,469.64625359896144
특수,469.47866920799913
각종,469.4522051634901
오브젝트,468.1209808618319
유튜브,468.02637566419816
형태,467.8573637600237
소모,467.766701590468
스포,467.766701590468
없어,466.0954433975612
기반,465.33067068220095
시뮬레이션,465.33067068220095
원래,465.09593243154836
아트,463.48831335168313
농사,462.64779481953246
적극,461.78988817646393
근접,460.4255579972282
온라인,460.3664912305002
노벨,458.95445012357055
티어,458.7242477013111
입문,456.74448788569447
의도,455.5342355099441
언급,455.41631390544103
성공,455.0812192911383
캐주얼,454.1977530444392
트리,454.1809380817251
시각,453.0283512402658
상당,452.45190538014276
죽음,451.94295199464335
전개,450.94070926429345
대체,450.63601792381564
진입,450.4661365803819
저주,450.1503144160598
동료,449.6539804614877
가능,449.26082094613
배틀,448.3283033972645
도박,447.6104314158166
그런지,447.1397576153886
긴장감,445.7378003376872
필드,445.5966685681257
오른쪽,445.5966685681257
에피소드,445.560755414271
감상,445.51595925532274
가이드,444.5931311568629
염소,444.11674330167295
프레임,444.09220451467667
경영,443.4840754003041
실패,443.14740150675914
이것저것,442.953186191841
왼쪽,442.8747038873035
목적,440.5657819302636
시대,440.43872941676403
후회,440.15322621744457
실수,440.15322621744457
강제,439.20794012298694
성우,439.18972280748307
고용,438.86759034391577
상승,437.9941277753413
무리,437.91962725784276
악마,436.8696698046546
자유,434.4500246512027
해보면,434.2512763894622
옛날,434.2512763894622
범위,434.2465001950413
바닥,434.1415650740637
타이밍,433.01692177789425
오픈,432.92864433948426
미니게임,432.8860683238446
모양,432.1994615280697
걱정,432.1641818477157
에선,431.04314757930194
진단,430.8595270837126
하진,430.630159321136
테크,429.5042951863474
고려,428.385314668433
낚시,427.98390911394614
요리,427.5731927545254
추억,427.2532252358099
학생,426.6793919407519
체크,424.62741357668455
수치,424.2123118626148
실행,424.02893548456973
인벤,423.7898820034664
메뉴,418.920153129334
감안,418.5281014230503
일정,417.78539152185
창작,417.78539152185
개새끼,416.9876431413086
포기,416.9424290128677
사고,416.9424290128677
건강,415.52336715328596
환경,415.1637711747678
시민,414.19115462183174
발매,413.108097788106
등급,411.73135560328996
