,게임,캐릭터,가챠,스토리,개발자,과금,플레이,콘텐츠,번역,생각,재화,업데이트,이벤트,정도,확률,재미,운영,문제,말,서버,디펜스,피로도,시간,시작,최고,최적화,돈,필요,사람,모바일,부족,전략,접속,처음,계정,오류,추가,스테이지,화면,클리어,천장,출시,진행,마음,단점,리뷰,머리,시스템,추천,자체,감사,난이도,부분,매력,수정,다운로드,광고,삭제,해결,일러스트,요소,지능,평점,육성,느낌,이상,자동,장점,설치,기술,보상,레벨,한국,수급,전투,만족,인생,자원,사랑,유도,한정,로딩,이후,개선,소리,부탁,초반,뉴비,하루,콜라보레이션,개성,개인,이유,수집,사용,메인,리세마라,실행,일본,경우
보상,67.0,25.0,23.0,28.0,6.0,18.0,24.0,20.0,9.0,20.0,19.0,10.0,29.0,18.0,13.0,6.0,14.0,7.0,13.0,13.0,4.0,13.0,13.0,15.0,0.0,0.0,10.0,10.0,9.0,8.0,16.0,6.0,5.0,3.0,3.0,8.0,9.0,11.0,1.0,10.0,4.0,9.0,13.0,5.0,9.0,5.0,7.0,7.0,6.0,3.0,6.0,11.0,6.0,3.0,8.0,3.0,5.0,3.0,2.0,3.0,5.0,3.0,4.0,6.0,4.0,5.0,3.0,6.0,0.0,7.0,0.0,7.0,5.0,6.0,5.0,5.0,0.0,10.0,1.0,6.0,5.0,2.0,5.0,10.0,2.0,6.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,7.0
레벨,59.0,38.0,26.0,24.0,5.0,22.0,9.0,20.0,2.0,16.0,24.0,3.0,13.0,19.0,10.0,7.0,5.0,7.0,15.0,4.0,10.0,14.0,11.0,12.0,6.0,1.0,5.0,14.0,12.0,3.0,19.0,7.0,5.0,8.0,4.0,2.0,9.0,14.0,4.0,10.0,6.0,3.0,9.0,3.0,13.0,4.0,7.0,15.0,5.0,8.0,3.0,10.0,9.0,3.0,2.0,2.0,2.0,0.0,0.0,5.0,3.0,5.0,1.0,9.0,6.0,8.0,5.0,8.0,0.0,13.0,7.0,0.0,2.0,7.0,12.0,5.0,0.0,14.0,1.0,8.0,8.0,0.0,2.0,4.0,0.0,3.0,9.0,9.0,4.0,0.0,2.0,4.0,3.0,5.0,4.0,8.0,2.0,1.0,1.0,11.0
한국,74.0,22.0,9.0,20.0,9.0,16.0,19.0,15.0,22.0,17.0,10.0,4.0,12.0,11.0,8.0,6.0,23.0,8.0,10.0,40.0,6.0,1.0,3.0,4.0,3.0,1.0,15.0,5.0,11.0,12.0,6.0,4.0,0.0,7.0,3.0,8.0,5.0,4.0,1.0,6.0,1.0,9.0,10.0,5.0,8.0,6.0,1.0,2.0,3.0,5.0,7.0,2.0,9.0,6.0,8.0,2.0,5.0,4.0,4.0,4.0,7.0,2.0,3.0,1.0,6.0,4.0,1.0,5.0,0.0,4.0,5.0,2.0,0.0,1.0,3.0,6.0,1.0,0.0,5.0,4.0,1.0,0.0,2.0,6.0,3.0,0.0,0.0,1.0,2.0,4.0,1.0,5.0,6.0,0.0,6.0,3.0,1.0,0.0,21.0,4.0
수급,75.0,50.0,46.0,30.0,8.0,23.0,15.0,36.0,1.0,25.0,77.0,5.0,20.0,21.0,20.0,4.0,10.0,13.0,13.0,2.0,7.0,22.0,11.0,5.0,5.0,0.0,9.0,18.0,6.0,4.0,17.0,7.0,3.0,8.0,1.0,1.0,7.0,12.0,0.0,10.0,18.0,6.0,11.0,8.0,20.0,3.0,5.0,13.0,10.0,13.0,2.0,9.0,10.0,14.0,0.0,0.0,0.0,1.0,2.0,7.0,9.0,4.0,2.0,13.0,7.0,8.0,8.0,15.0,0.0,9.0,6.0,7.0,1.0,0.0,9.0,10.0,0.0,23.0,0.0,3.0,15.0,2.0,4.0,8.0,1.0,1.0,11.0,6.0,7.0,1.0,8.0,7.0,1.0,6.0,4.0,6.0,1.0,0.0,1.0,6.0
전투,62.0,49.0,23.0,42.0,5.0,11.0,17.0,18.0,0.0,22.0,19.0,4.0,8.0,18.0,10.0,14.0,4.0,4.0,3.0,2.0,6.0,5.0,13.0,13.0,4.0,2.0,2.0,8.0,14.0,7.0,6.0,11.0,0.0,14.0,1.0,1.0,7.0,13.0,6.0,9.0,6.0,6.0,11.0,10.0,12.0,2.0,3.0,20.0,6.0,6.0,3.0,6.0,4.0,7.0,0.0,0.0,1.0,2.0,0.0,5.0,7.0,2.0,0.0,3.0,10.0,4.0,31.0,13.0,3.0,7.0,5.0,12.0,3.0,9.0,0.0,5.0,6.0,8.0,2.0,2.0,3.0,2.0,0.0,6.0,3.0,3.0,7.0,7.0,4.0,0.0,6.0,7.0,1.0,4.0,7.0,6.0,1.0,0.0,3.0,11.0
만족,93.0,42.0,22.0,39.0,9.0,32.0,24.0,16.0,11.0,19.0,16.0,7.0,22.0,18.0,7.0,15.0,13.0,15.0,10.0,8.0,10.0,12.0,9.0,12.0,4.0,2.0,8.0,6.0,8.0,12.0,10.0,6.0,2.0,6.0,2.0,2.0,4.0,8.0,2.0,11.0,6.0,6.0,12.0,8.0,6.0,5.0,6.0,7.0,7.0,7.0,5.0,7.0,12.0,9.0,3.0,1.0,4.0,2.0,7.0,6.0,5.0,4.0,2.0,7.0,4.0,7.0,4.0,4.0,0.0,4.0,5.0,5.0,6.0,10.0,5.0,0.0,2.0,6.0,1.0,4.0,2.0,4.0,2.0,5.0,1.0,2.0,3.0,2.0,5.0,2.0,6.0,7.0,2.0,3.0,3.0,4.0,2.0,1.0,0.0,5.0
인생,99.0,22.0,6.0,18.0,4.0,5.0,7.0,6.0,3.0,11.0,4.0,2.0,5.0,8.0,2.0,6.0,5.0,3.0,8.0,7.0,8.0,0.0,3.0,8.0,27.0,1.0,1.0,2.0,4.0,15.0,3.0,5.0,2.0,11.0,1.0,2.0,3.0,6.0,1.0,8.0,2.0,10.0,1.0,6.0,4.0,4.0,2.0,6.0,2.0,7.0,6.0,4.0,4.0,8.0,1.0,2.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,4.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,6.0,3.0,2.0,0.0,5.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0
자원,70.0,45.0,31.0,30.0,2.0,16.0,24.0,25.0,2.0,23.0,31.0,2.0,26.0,17.0,15.0,11.0,7.0,10.0,8.0,4.0,14.0,25.0,17.0,14.0,6.0,2.0,4.0,24.0,6.0,3.0,22.0,10.0,2.0,11.0,1.0,2.0,12.0,21.0,1.0,17.0,8.0,4.0,13.0,7.0,11.0,2.0,8.0,12.0,7.0,6.0,2.0,17.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,8.0,4.0,5.0,3.0,24.0,7.0,13.0,14.0,12.0,0.0,10.0,10.0,14.0,0.0,23.0,8.0,6.0,0.0,0.0,0.0,3.0,8.0,1.0,3.0,5.0,1.0,4.0,12.0,10.0,7.0,1.0,3.0,8.0,3.0,8.0,4.0,9.0,1.0,0.0,0.0,5.0
사랑,38.0,23.0,6.0,17.0,35.0,5.0,7.0,6.0,2.0,5.0,4.0,2.0,5.0,5.0,3.0,1.0,10.0,2.0,7.0,6.0,2.0,0.0,3.0,1.0,4.0,1.0,2.0,5.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,6.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,0.0,2.0,6.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
유도,89.0,43.0,20.0,32.0,8.0,80.0,17.0,14.0,8.0,30.0,18.0,6.0,17.0,22.0,13.0,8.0,4.0,13.0,9.0,4.0,15.0,7.0,15.0,8.0,7.0,2.0,10.0,12.0,8.0,11.0,10.0,10.0,3.0,4.0,1.0,3.0,6.0,11.0,0.0,12.0,3.0,10.0,17.0,9.0,9.0,7.0,13.0,11.0,6.0,3.0,3.0,12.0,7.0,9.0,4.0,2.0,5.0,1.0,2.0,6.0,7.0,9.0,1.0,10.0,8.0,8.0,4.0,9.0,1.0,4.0,6.0,8.0,4.0,3.0,2.0,4.0,3.0,3.0,1.0,0.0,6.0,1.0,3.0,5.0,1.0,1.0,6.0,3.0,2.0,1.0,2.0,2.0,2.0,7.0,5.0,3.0,3.0,1.0,0.0,8.0
한정,60.0,35.0,48.0,24.0,7.0,27.0,18.0,21.0,4.0,21.0,32.0,5.0,19.0,20.0,22.0,10.0,6.0,12.0,14.0,8.0,4.0,7.0,11.0,8.0,8.0,1.0,12.0,8.0,8.0,7.0,15.0,11.0,2.0,6.0,3.0,0.0,4.0,11.0,2.0,9.0,25.0,9.0,10.0,5.0,13.0,2.0,7.0,9.0,8.0,6.0,3.0,11.0,9.0,3.0,3.0,0.0,2.0,1.0,0.0,5.0,6.0,6.0,3.0,9.0,7.0,9.0,5.0,12.0,0.0,7.0,5.0,8.0,1.0,15.0,3.0,2.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,4.0,2.0,2.0,6.0,11.0,2.0,2.0,4.0,2.0,4.0,5.0,3.0,3.0,3.0,1.0,1.0,10.0
로딩,55.0,11.0,6.0,8.0,6.0,4.0,14.0,9.0,1.0,2.0,5.0,15.0,4.0,7.0,3.0,4.0,1.0,12.0,5.0,4.0,2.0,0.0,11.0,18.0,1.0,6.0,2.0,3.0,2.0,9.0,2.0,1.0,22.0,8.0,7.0,9.0,1.0,0.0,30.0,1.0,1.0,5.0,5.0,1.0,2.0,3.0,0.0,5.0,1.0,6.0,3.0,0.0,3.0,1.0,2.0,4.0,0.0,11.0,14.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,14.0,1.0,2.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,13.0,5.0,1.0,7.0,0.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,2.0,7.0,3.0,9.0,0.0,2.0
이후,61.0,16.0,8.0,16.0,7.0,15.0,18.0,9.0,10.0,9.0,7.0,54.0,7.0,12.0,4.0,0.0,9.0,18.0,3.0,6.0,10.0,0.0,11.0,9.0,5.0,5.0,7.0,6.0,5.0,11.0,3.0,2.0,23.0,13.0,3.0,12.0,6.0,3.0,15.0,2.0,2.0,14.0,10.0,6.0,6.0,12.0,2.0,2.0,4.0,6.0,3.0,2.0,5.0,5.0,7.0,7.0,2.0,11.0,10.0,4.0,8.0,1.0,2.0,3.0,3.0,3.0,2.0,5.0,13.0,0.0,5.0,2.0,2.0,4.0,0.0,2.0,1.0,3.0,1.0,3.0,0.0,13.0,0.0,3.0,7.0,8.0,2.0,1.0,4.0,1.0,2.0,1.0,5.0,2.0,5.0,6.0,1.0,11.0,2.0,0.0
개선,67.0,29.0,12.0,26.0,8.0,12.0,14.0,23.0,18.0,18.0,15.0,10.0,14.0,18.0,12.0,2.0,9.0,18.0,16.0,9.0,1.0,12.0,13.0,11.0,4.0,3.0,5.0,12.0,8.0,8.0,15.0,6.0,1.0,7.0,1.0,8.0,5.0,4.0,7.0,7.0,6.0,8.0,10.0,2.0,6.0,2.0,1.0,7.0,3.0,4.0,5.0,3.0,18.0,7.0,7.0,2.0,5.0,1.0,3.0,6.0,5.0,1.0,3.0,4.0,5.0,5.0,6.0,8.0,1.0,8.0,10.0,4.0,6.0,8.0,6.0,5.0,1.0,5.0,2.0,5.0,4.0,5.0,3.0,0.0,6.0,9.0,5.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,6.0,4.0,1.0,1.0,2.0,5.0
소리,50.0,12.0,8.0,8.0,4.0,5.0,9.0,1.0,7.0,8.0,7.0,11.0,9.0,10.0,4.0,2.0,8.0,14.0,8.0,1.0,0.0,2.0,3.0,9.0,1.0,1.0,3.0,4.0,5.0,9.0,3.0,2.0,4.0,3.0,1.0,4.0,2.0,2.0,11.0,2.0,1.0,2.0,3.0,4.0,2.0,6.0,3.0,1.0,0.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,0.0,2.0,2.0,1.0,2.0,0.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,7.0,6.0,0.0,6.0,0.0,1.0,2.0,3.0,2.0,0.0,3.0,2.0,7.0,0.0,1.0,7.0,1.0,3.0
부탁,60.0,14.0,11.0,9.0,7.0,5.0,24.0,11.0,5.0,11.0,10.0,22.0,7.0,5.0,6.0,3.0,10.0,9.0,5.0,3.0,5.0,4.0,4.0,14.0,3.0,7.0,5.0,3.0,3.0,10.0,3.0,1.0,8.0,8.0,8.0,11.0,7.0,4.0,11.0,3.0,3.0,5.0,5.0,5.0,0.0,4.0,0.0,5.0,4.0,4.0,7.0,4.0,4.0,1.0,15.0,2.0,1.0,4.0,17.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,4.0,2.0,7.0,3.0,6.0,3.0,0.0,1.0,3.0,2.0,1.0,4.0,0.0,1.0,2.0,7.0,8.0,9.0,6.0,0.0,3.0,1.0,3.0,5.0,2.0,3.0,2.0,0.0,3.0,1.0,0.0,5.0,1.0,5.0
초반,67.0,31.0,21.0,38.0,4.0,21.0,19.0,13.0,3.0,26.0,18.0,1.0,12.0,26.0,6.0,12.0,7.0,15.0,13.0,4.0,8.0,14.0,14.0,9.0,3.0,0.0,6.0,16.0,12.0,3.0,17.0,6.0,5.0,13.0,2.0,0.0,4.0,11.0,2.0,8.0,3.0,8.0,13.0,6.0,15.0,2.0,9.0,13.0,9.0,7.0,1.0,12.0,6.0,7.0,1.0,1.0,1.0,4.0,0.0,4.0,4.0,10.0,0.0,11.0,10.0,8.0,7.0,11.0,1.0,7.0,5.0,9.0,0.0,11.0,7.0,3.0,6.0,12.0,2.0,6.0,6.0,0.0,2.0,5.0,0.0,3.0,0.0,8.0,6.0,0.0,6.0,5.0,3.0,1.0,2.0,8.0,8.0,1.0,0.0,9.0
뉴비,53.0,27.0,28.0,29.0,4.0,19.0,12.0,15.0,6.0,16.0,16.0,5.0,22.0,21.0,10.0,10.0,6.0,6.0,11.0,9.0,11.0,5.0,4.0,18.0,4.0,0.0,7.0,10.0,10.0,4.0,10.0,4.0,1.0,7.0,3.0,1.0,8.0,13.0,3.0,10.0,13.0,9.0,8.0,1.0,11.0,3.0,7.0,10.0,8.0,4.0,2.0,15.0,3.0,6.0,0.0,2.0,3.0,0.0,2.0,4.0,3.0,9.0,2.0,5.0,9.0,4.0,4.0,8.0,0.0,1.0,3.0,9.0,1.0,6.0,7.0,2.0,3.0,10.0,0.0,3.0,11.0,1.0,1.0,3.0,1.0,1.0,8.0,0.0,2.0,2.0,1.0,4.0,3.0,6.0,1.0,5.0,7.0,0.0,1.0,10.0
하루,54.0,20.0,15.0,17.0,5.0,18.0,20.0,26.0,6.0,15.0,14.0,13.0,16.0,25.0,6.0,6.0,8.0,9.0,7.0,7.0,5.0,21.0,21.0,8.0,1.0,0.0,6.0,6.0,7.0,3.0,9.0,6.0,7.0,3.0,3.0,1.0,4.0,4.0,1.0,6.0,2.0,7.0,4.0,10.0,12.0,5.0,2.0,2.0,8.0,6.0,6.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,3.0,2.0,11.0,5.0,4.0,2.0,6.0,5.0,4.0,2.0,7.0,4.0,5.0,2.0,7.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,3.0,6.0,2.0,0.0,2.0,2.0,6.0,1.0,2.0,7.0,3.0,1.0,5.0,1.0,2.0
콜라보레이션,42.0,12.0,7.0,5.0,2.0,6.0,4.0,4.0,41.0,8.0,3.0,3.0,20.0,7.0,4.0,3.0,20.0,17.0,11.0,14.0,2.0,1.0,7.0,4.0,4.0,1.0,11.0,1.0,3.0,5.0,0.0,0.0,2.0,2.0,2.0,12.0,2.0,2.0,0.0,1.0,4.0,4.0,7.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,10.0,1.0,7.0,0.0,6.0,2.0,2.0,0.0,7.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,5.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0
개성,75.0,94.0,19.0,62.0,9.0,16.0,23.0,18.0,0.0,22.0,16.0,5.0,12.0,18.0,10.0,6.0,10.0,6.0,4.0,4.0,11.0,2.0,10.0,10.0,6.0,2.0,2.0,13.0,6.0,6.0,6.0,6.0,0.0,13.0,0.0,1.0,1.0,6.0,0.0,5.0,5.0,7.0,8.0,9.0,14.0,6.0,4.0,9.0,10.0,9.0,4.0,5.0,9.0,14.0,3.0,1.0,2.0,0.0,0.0,14.0,7.0,4.0,1.0,3.0,11.0,6.0,2.0,12.0,1.0,5.0,3.0,2.0,1.0,8.0,6.0,6.0,5.0,3.0,3.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,6.0,1.0,2.0,1.0,0.0,8.0,2.0,4.0,3.0,6.0,3.0,0.0,2.0,6.0
개인,79.0,48.0,31.0,44.0,5.0,19.0,22.0,20.0,6.0,37.0,16.0,4.0,19.0,26.0,9.0,15.0,9.0,15.0,10.0,5.0,12.0,7.0,17.0,12.0,8.0,0.0,8.0,11.0,13.0,6.0,8.0,5.0,1.0,7.0,1.0,1.0,6.0,10.0,1.0,12.0,3.0,6.0,8.0,6.0,10.0,2.0,6.0,12.0,10.0,9.0,5.0,7.0,11.0,10.0,7.0,0.0,1.0,1.0,2.0,7.0,11.0,3.0,9.0,8.0,6.0,5.0,7.0,5.0,1.0,7.0,4.0,4.0,5.0,7.0,7.0,7.0,1.0,8.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,5.0,4.0,6.0,2.0,8.0,0.0,3.0,6.0,4.0,5.0,3.0,1.0,0.0,6.0
이유,64.0,24.0,27.0,28.0,6.0,17.0,18.0,21.0,10.0,27.0,10.0,13.0,14.0,25.0,10.0,10.0,10.0,13.0,15.0,10.0,5.0,3.0,10.0,10.0,3.0,1.0,8.0,11.0,9.0,8.0,13.0,5.0,7.0,4.0,5.0,5.0,4.0,6.0,5.0,7.0,8.0,6.0,7.0,4.0,5.0,9.0,3.0,7.0,5.0,7.0,3.0,3.0,3.0,5.0,8.0,2.0,2.0,4.0,1.0,5.0,7.0,4.0,9.0,2.0,5.0,3.0,2.0,6.0,4.0,5.0,4.0,3.0,6.0,1.0,1.0,2.0,0.0,3.0,2.0,2.0,4.0,4.0,5.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,0.0,5.0,5.0,5.0,4.0,0.0,1.0,4.0
수집,83.0,34.0,21.0,27.0,2.0,23.0,16.0,16.0,3.0,21.0,13.0,5.0,12.0,11.0,5.0,14.0,7.0,7.0,9.0,4.0,25.0,7.0,6.0,10.0,4.0,2.0,5.0,6.0,15.0,14.0,10.0,11.0,0.0,11.0,0.0,1.0,5.0,12.0,0.0,16.0,4.0,7.0,12.0,3.0,9.0,2.0,8.0,11.0,15.0,7.0,3.0,11.0,8.0,11.0,1.0,2.0,1.0,0.0,1.0,8.0,10.0,3.0,3.0,10.0,5.0,3.0,5.0,8.0,0.0,2.0,3.0,5.0,0.0,6.0,4.0,3.0,2.0,8.0,0.0,7.0,5.0,1.0,2.0,1.0,2.0,0.0,1.0,6.0,2.0,1.0,4.0,6.0,5.0,0.0,2.0,4.0,0.0,1.0,0.0,3.0
사용,63.0,24.0,14.0,17.0,6.0,17.0,26.0,15.0,3.0,17.0,19.0,13.0,10.0,18.0,7.0,3.0,4.0,11.0,6.0,4.0,4.0,12.0,12.0,10.0,1.0,2.0,3.0,13.0,7.0,8.0,11.0,8.0,6.0,3.0,4.0,6.0,7.0,9.0,5.0,10.0,2.0,9.0,7.0,7.0,9.0,9.0,5.0,7.0,7.0,7.0,3.0,9.0,5.0,3.0,3.0,5.0,0.0,5.0,2.0,3.0,5.0,6.0,0.0,5.0,4.0,10.0,4.0,9.0,5.0,9.0,4.0,4.0,6.0,4.0,7.0,3.0,2.0,4.0,3.0,5.0,3.0,2.0,5.0,6.0,7.0,3.0,2.0,1.0,7.0,0.0,3.0,4.0,5.0,2.0,0.0,4.0,0.0,6.0,3.0,7.0
메인,57.0,38.0,14.0,59.0,11.0,16.0,15.0,22.0,1.0,21.0,14.0,9.0,22.0,23.0,5.0,11.0,1.0,4.0,8.0,8.0,2.0,4.0,10.0,9.0,5.0,1.0,5.0,3.0,5.0,3.0,8.0,6.0,6.0,5.0,3.0,1.0,4.0,3.0,20.0,6.0,5.0,9.0,6.0,6.0,19.0,3.0,8.0,5.0,0.0,6.0,3.0,4.0,6.0,6.0,2.0,0.0,2.0,2.0,2.0,9.0,7.0,2.0,2.0,6.0,8.0,7.0,7.0,12.0,1.0,9.0,3.0,8.0,3.0,6.0,6.0,4.0,1.0,9.0,0.0,3.0,3.0,7.0,6.0,4.0,0.0,1.0,8.0,5.0,3.0,1.0,6.0,5.0,5.0,4.0,4.0,0.0,4.0,0.0,4.0,8.0
리세마라,40.0,19.0,17.0,22.0,6.0,16.0,5.0,9.0,5.0,11.0,13.0,0.0,3.0,19.0,14.0,6.0,5.0,9.0,6.0,3.0,2.0,3.0,9.0,17.0,1.0,1.0,7.0,8.0,8.0,3.0,5.0,1.0,3.0,7.0,6.0,2.0,2.0,8.0,1.0,7.0,4.0,3.0,5.0,3.0,7.0,1.0,2.0,4.0,9.0,0.0,3.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,2.0,3.0,4.0,2.0,5.0,4.0,2.0,5.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,8.0,7.0,1.0,2.0,3.0,3.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
실행,54.0,1.0,2.0,2.0,2.0,3.0,11.0,2.0,0.0,1.0,0.0,17.0,1.0,6.0,0.0,0.0,0.0,15.0,1.0,2.0,1.0,1.0,2.0,6.0,0.0,2.0,0.0,1.0,4.0,6.0,0.0,1.0,7.0,4.0,1.0,5.0,2.0,1.0,22.0,1.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,1.0,1.0,6.0,4.0,1.0,2.0,1.0,0.0,6.0,2.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,17.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,9.0,11.0,1.0,7.0,5.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
일본,35.0,11.0,6.0,14.0,11.0,6.0,3.0,7.0,6.0,2.0,5.0,2.0,5.0,3.0,2.0,1.0,11.0,3.0,8.0,25.0,3.0,0.0,4.0,5.0,1.0,0.0,8.0,0.0,6.0,3.0,1.0,0.0,1.0,5.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,12.0,3.0,3.0,3.0,5.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,2.0,0.0,2.0,1.0,21.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0
경우,59.0,44.0,20.0,30.0,4.0,20.0,18.0,16.0,2.0,20.0,17.0,10.0,17.0,19.0,13.0,9.0,6.0,12.0,10.0,5.0,10.0,8.0,11.0,15.0,3.0,0.0,7.0,14.0,11.0,12.0,13.0,11.0,3.0,10.0,3.0,4.0,7.0,12.0,1.0,13.0,6.0,3.0,13.0,11.0,12.0,3.0,5.0,9.0,8.0,6.0,4.0,14.0,8.0,7.0,6.0,2.0,1.0,5.0,4.0,8.0,6.0,4.0,1.0,9.0,5.0,5.0,10.0,8.0,2.0,11.0,7.0,11.0,4.0,6.0,11.0,5.0,1.0,5.0,0.0,8.0,10.0,2.0,0.0,5.0,3.0,5.0,9.0,10.0,2.0,0.0,6.0,6.0,4.0,3.0,7.0,8.0,4.0,0.0,1.0,0.0
