term,tf-idf
분량,666.8198480885485
제공,666.7989048046862
제일,665.5565437730385
표현,663.2489036097074
특징,661.3644214004036
최적화,658.3358407980165
한번,656.0849315250147
영상,654.5702610536069
요구,654.521944351685
수도,653.1956536290165
전략,652.2136780331141
운영,650.943330274304
차이,650.7829045572604
당신,649.1824071707589
보니,646.0693485723913
효율,643.923822765811
건설,643.4437996425709
힌트,643.2864504632239
음식,640.4078892927793
동료,638.5276584152002
타일,637.9319958056052
설치,634.2747199144159
병신,628.3410665776175
루트,627.6119917917309
장면,627.6119917917309
확률,627.5223091807021
강화,624.4058896506903
구현,623.3954621085916
무료,615.7572043135308
기억,613.3010009624034
목적,609.8263064309511
활용,609.8263064309511
직관,605.5841631912033
시도,604.5395580915119
어려움,603.88568918112
참고,603.564786166313
발전,603.0655726948589
고민,603.0655726948589
정가,601.4132298533874
옵션,599.9232274479781
쓰레기,599.4053068290557
그러,599.2937875226195
기존,598.1641413331442
실행,598.1641413331442
설계,597.5210965132902
변화,596.6785137325091
구입,595.7781152206204
정신,595.7781152206204
입장,595.7781152206204
도구,595.6777021485857
완성,595.2587507642469
정식,594.1969613316993
거지,593.4332295455278
시뮬레이션,593.0584324575613
문제점,591.6225360897288
볼륨,586.6318123473737
지루함,586.5629612038815
힐링,585.3283499685396
적용,581.3201177746905
얘기,580.6922861075154
현상,577.8084351991462
감성,576.4597386053799
시뮬레이터,573.8217770346366
상자,572.2344631042253
이전,572.2344631042253
던전,570.5529064739505
아쉬움,569.3779355136274
전개,565.8564965229984
레고,565.1316964448919
상점,564.817554721487
정작,562.978015372371
오류,561.0559158977325
서브,560.8825182286294
전부,560.7323437370545
만족,560.7323437370545
대로,560.3525966199994
사서,559.060185497515
보내,557.7567540094307
탈출,557.7471922316307
우리,555.2149954072839
마리,554.6943844668154
자연,552.7251130682766
감동,552.1502664390383
컨트롤,550.285031730063
의문,549.8539045159008
연결,548.1308613310854
깨지,547.5992969495852
회사,545.9903028974373
티어,545.8899392273185
완료,545.1306881829048
라이트,544.6530529179794
하면,543.497120263008
아래,543.2094579952716
캠페인,542.5370895519443
스킵,542.2074510929842
데미지,541.541741737987
타격감,541.2639656361275
주민,541.2081497104681
도둑,539.1143413091855
동물,538.7558433732904
회복,538.1120344410853
관리,536.5766769854126
언어,535.3161106458881
해서,534.8701818461349
흐름,533.8622630343287
부품,533.850993101233
달리,532.2428995421922
최소,532.2428995421922
애초,532.1166817895814
정답,531.8991074038669
증가,531.5666481613817
인터페이스,530.32609397618
필수,529.9348034995986
계속,525.6865722534886
형식,525.5419107862302
영향,523.2480704264217
변경,523.2218334482567
일부,523.2218334482567
아트,521.8914898572933
사건,521.6218601083104
성우,521.5370887621104
귀신,519.5598237220494
후속작,517.7494251613631
절반,516.8569344167196
일정,516.5276686042616
요리,514.987531019081
라면,514.2007673543212
포함,512.0389872873461
끝내,511.9654016160462
포기,509.77302635626705
수록,509.77302635626705
언급,508.33579924933827
시나리오,504.2586241228501
지형,501.5953971004988
한국,501.50766736847436
노래,501.4779699635677
파악,500.79785696029967
이름,498.9221733373135
유닛,497.9114977336306
결말,497.31220676335175
마라,494.6058165996253
준비,493.9330171863669
유발,493.9330171863669
게이머,491.523822572146
대비,491.5017992130054
버프,491.44841056429635
요즘,489.2976410768351
소모,489.154705921173
파일,487.74851047944117
사이,486.2973686767673
최종,485.1329825568806
초기,484.60832725409546
묘사,484.6039951241455
채집,484.35577459314464
슈퍼,482.8008103303884
자기,482.39991404239424
단서,481.418851165025
유튜브,480.90507076948495
조사,480.66408875578213
일어나,480.2365736494863
고정,480.0949215132639
예상,479.93858195838243
시너지,477.83216965978903
실제,477.6776233481963
장소,475.6205711341967
상대,475.46477390967857
인해,475.2940354057493
있다,475.2940354057493
바닥,473.12044091365505
일본,473.12044091365505
주변,469.0954368846439
불만,468.62111791161993
피지컬,466.8454739296966
필자,466.7166414645551
진입,466.10815971151277
서사,465.4390087510025
얼마,464.19614370117176
가치,464.1786357754174
키보드,461.58388322617714
감상,461.26766968921436
낚시,460.64883407188665
최악,459.3054070655733
스타일,459.05742162770935
불합리,457.1195265561613
나머지,455.0942585305606
잘못,454.4276850195312
집중,454.19562327710884
방해,449.56822150259256
조건,449.4937253437987
완성도,449.4937253437987
먹이,448.426695367571
최소한,448.0341138764279
환경,447.39357918262596
유물,445.6244401855661
아니,443.99230394009106
옛날,443.02022950004533
지점,442.88648499762206
물고기,439.885182745465
잡기,438.46165769273614
경영,438.46165769273614
깊이,437.6676318090906
가도,437.63518777051115
그런지,436.89048818933816
