term,tf-idf
고객,318.5769674637646
중간,314.8741774832706
인지,309.7977611745441
답,308.9293025448034
음악,308.71361745983927
버튼,307.7777482277048
소통,307.6493674170839
조합,307.04750871026175
클라이언트,306.64899847182255
점검,305.8431612178878
팀,305.8431612178878
기분,304.4564204646382
전술,302.3781386096749
그래픽,302.3450679788583
대리,300.72446257777847
게임물관리위원회,300.38167619613984
몰입,299.1150797547322
서브,297.0407685406327
장르,296.97852899164496
사실,293.7737390448263
필수,292.6698655687611
데이터,291.76341708545
월정액,291.57891937361507
속도,288.34287546515867
카페,288.34287546515867
경험,287.42302315226414
서비스,285.11554380238596
차이,282.9024438526085
모습,280.77970013755527
해도,280.77970013755527
연출,273.1241872535596
작전,271.907788645569
모집,269.8921521285177
하면,268.99034953668644
보니,268.666570121479
흥미,267.61276606565184
다음,265.570803942024
욕,264.2385664170113
할거,263.1835788945101
구매,263.1088461674261
비교,262.15128104390385
플레이어,261.9762612432103
노력,260.87032786493114
안드로이드,260.15099161667655
대체,259.7898205083703
마라,259.7898205083703
포인트,259.03280528858886
숫자,258.64664578982945
한국어,257.70058766754113
유닛,257.21945570896645
보이스,257.21945570896645
짜증,256.68979602215586
제외,255.7002857898577
한번,255.7002857898577
발생,253.22862614963583
아방가르드,252.21759644057218
투자,251.91272505391862
임무,250.83144727580856
스트레스,250.8283352328609
관련,246.31466449716487
실패,243.20749153975092
본인,241.7783862817971
무한,240.71660394041115
기믹,239.6804092225115
유튜브,239.6804092225115
사랑해요,239.6804092225115
유일,238.66859783387318
응원,238.66859783387318
공개,234.85266108507977
양산,234.10644621733684
실망,234.10644621733684
확정,231.41088395367575
정예,231.41088395367575
기종,230.53287994310887
던전,230.03437124658976
파밍,228.02858843255322
모드,228.02858843255322
티어,227.9899721056748
최악,226.78987741767142
차별,225.92283909313633
진심,225.92283909313633
원래,225.92283909313633
지역,225.92283909313633
보스,223.35052592097054
분위기,223.35052592097054
입장,222.14407538501646
부담,221.2878120855351
만원,220.97475235567984
저가,220.27476811580792
이용,219.84033975599198
나중,219.28737360442062
대부분,217.66832003007391
협약,217.66832003007391
불가,217.66832003007391
지원,217.47288050199762
센터,217.47288050199762
효율,217.47288050199762
용문,215.25941207818263
획득,215.15962729368826
거지,214.6266971384795
완전,212.98252879283973
요구,212.98252879283973
특정,211.94020634507197
예전,211.94020634507197
수도,211.94020634507197
노트,211.94020634507197
연동,211.59523508302473
가격,211.59523508302473
얼마,210.92644430011174
이만,210.92644430011174
도전,210.45228194369983
안녕하세요,209.93971915807177
문의,209.34450223169668
강화,208.5416789657437
특성,206.21209266007003
개발,205.22572958929788
성우,204.60638522304149
이름,202.4845234594663
숙제,202.4845234594663
기억,202.4081001726336
공간,202.4081001726336
스펙,202.10745097803374
피드백,201.46995966890245
어려움,200.48397897506808
프로세스,199.05888544319166
방치,198.76048850238317
배속,198.52125999597297
텍스트,197.71425210771355
장비,197.38300297304008
후반,196.69925136062437
이야기,196.69925136062437
인해,196.69925136062437
저장,196.2745213795235
호시,196.25333085299226
미션,196.16311418456218
쓰레기,195.7136751069338
연결,194.96821755487534
감동,193.962298826106
표현,193.962298826106
일부,193.962298826106
무료,193.962298826106
고민,192.91459178172482
지속,192.91459178172482
로그,191.89912704572197
노래,191.89912704572197
의미,191.89912704572197
강제,191.89912704572197
덕분,191.89912704572197
극악,191.89912704572197
아이템,191.34169962505123
진짜,190.9139792617825
이정,190.9139792617825
발열,190.9139792617825
사건,190.21877739109058
회사,188.0846534071331
영상,187.65961864853375
시도,187.0686950610665
편의,187.0686950610665
전체,187.0686950610665
기기,186.4896684810655
대처,186.0840019837304
친절,185.36227151176837
조치,185.36227151176837
정보,184.274440597619
네트워크,184.274440597619
최신,184.274440597619
불만,184.274440597619
발전,183.22349249567287
기존,183.22349249567287
운영자,183.22349249567287
안정,182.160448181906
이대로,181.2227983404082
절대,181.2227983404082
피로,180.47387272361178
복구,179.38284339848553
메이,179.38284339848553
설계,179.10801381833826
정신,178.33010380414743
실수,178.33010380414743
참고,177.313057253877
대신,177.313057253877
에선,177.313057253877
하나하나,177.313057253877
창려,177.313057253877
로비,177.313057253877
논란,176.68994715910577
라이,176.32936256918728
종료,176.32936256918728
마다,176.32936256918728
잘못,176.32936256918728
안보,174.45807696615805
섬멸,173.40341528520267
중복,173.40341528520267
하드,173.40341528520267
능력,172.38576701067583
공식,172.38576701067583
진입,172.38576701067583
퀘스트,172.38576701067583
노호,172.36970885796217
집중,171.74020620708305
일정,171.74020620708305
게임사,170.59719036051592
인물,170.59719036051592
무시,170.59719036051592
한계,169.49901039222402
오타쿠,169.49901039222402
선생님,169.49901039222402
내용,168.44228120870434
환불,167.95593459269296
유일한,167.42398717191983
있다,167.42398717191983
안나,167.42398717191983
정말,166.95278250460916
미소녀,166.44143021720427
최대,165.60662741397294
선생,164.50443356192608
공격,164.21340909750566
소탕,163.44547430678747
가치,163.44547430678747
성은,163.44547430678747
인연,162.94486482910042
구성,162.4264854512506
가능,162.4264854512506
사전,161.73534442259322
충전,161.73534442259322
사기,160.57959859575155
시로코,158.4116767633362
와이파이,157.8975087476016
기준,157.3919382213509
그런지,157.3919382213509
중인,157.3919382213509
한게임,157.3919382213509
관리,157.3919382213509
문제점,157.3919382213509
이어폰,156.93705362923856
마지막,156.41068969379688
좋아서,156.41068969379688
해서,156.41068969379688
안전,156.41068969379688
기반,154.40346018822265
정상,153.33946982775274
명작,153.33946982775274
주가,152.31891996474636
지갑,152.31891996474636
행복,152.31891996474636
코스트,151.58160839769755
랜덤,151.58160839769755
엑시,151.58160839769755
장벽,151.33840213591432
인정,151.33840213591432
수치,149.29416408239373
터치,149.29416408239373
글로벌,148.4270318519234
음성,148.22732178069373
제공,147.2058910346426
사랑합니다,147.2058910346426
최종,147.2058910346426
보석,146.44545381870714
목소리,146.2261631661565
타임,146.2261631661565
아쉬움,146.2261631661565
순간,146.2261631661565
배경,146.2261631661565
하기,146.2261631661565
점수,143.073573912294
명중,142.65608872208696
블루투스,142.52522414684046
구조,142.05118337316483
개판,142.05118337316483
한판,141.2677390423616
방송,141.2677390423616
하네,141.0723122415325
거리,141.0723122415325
완성도,141.0723122415325
하지,141.0723122415325
도면,141.0723122415325
여태,141.0723122415325
의견,141.0723122415325
특징,138.9498076978894
당장,137.8764240861619
상대,137.8764240861619
사고,137.8764240861619
타이틀,137.8764240861619
이든,137.31992192558374
주기,136.85298374219425
없어,136.85298374219425
와서,136.85298374219425
사심,136.85298374219425
평생,135.87504496563594
해주,135.87504496563594
연속,135.87504496563594
현재,135.87504496563594
한마디,135.87504496563594
라이브,135.87504496563594
유료,134.8464781767997
매출,133.71106653012393
에러,133.71106653012393
소비,133.71106653012393
욕심,133.71106653012393
박사,132.63390734798534
도가,132.63390734798534
한가지,131.60931390042728
루즈,131.60931390042728
소녀,131.60931390042728
포기,131.60931390042728
지장,131.60931390042728
수영복,131.60931390042728
휴대폰,131.60931390042728
복각,130.63239357209451
유지,130.63239357209451
이전,130.63239357209451
경험치,129.5683855880368
단계,129.5683855880368
카드,129.5683855880368
이미지,128.42521731123782
활용,128.42521731123782
홍보,128.18698205393383
상위,127.3438728858323
상시,127.3438728858323
과정,127.3438728858323
시설,127.3438728858323
포함,127.3438728858323
오리,127.3438728858323
트위터,126.77893058301314
사과,126.77893058301314
어이,126.31800699808127
요청,126.31800699808127
리소스,126.31800699808127
하나,126.31800699808127
테러,126.31800699808127
의도,126.31800699808127
딜러,126.16285554835217
정지,125.46806602476106
오랫동안,125.34220371469263
희망,125.34220371469263
래시,125.34220371469263
사랑해,125.34220371469263
제한,125.34220371469263
가자,125.34220371469263
관심,125.34220371469263
해보면,125.34220371469263
후회,125.34220371469263
대로,125.34220371469263
바람,125.34220371469263
완료,125.34220371469263
성도,125.34220371469263
저번,125.34220371469263
예약,124.2418341231472
매크로,123.08996630863494
발견,122.00395644567593
장난,120.97667924154068
이하,120.97667924154068
작품,120.97667924154068
혼자,120.97667924154068
전선,120.97667924154068
작년,120.00210664817722
초보자,120.00210664817722
조절,120.00210664817722
사항,120.00210664817722
라이트,120.00210664817722
이안,120.00210664817722
작성,120.00210664817722
다시,120.00210664817722
업적,118.8644836024052
일본어,117.70279022192892
프로,117.70279022192892
레어,117.70279022192892
학원,117.70279022192892
채용,117.53353496121464
랭크,117.53353496121464
위기,116.61154702923311
현금,116.61154702923311
안함,116.61154702923311
여러분,116.61154702923311
프리,116.61154702923311
티켓,115.58269558011403
대가리,115.58269558011403
고의,115.58269558011403
라면,115.58269558011403
결과,115.58269558011403
도움,115.58269558011403
모션,115.58269558011403
이슈,115.58269558011403
약간,115.58269558011403
본적,115.58269558011403
나머지,115.58269558011403
오타,114.69361552194081
성취감,114.60948559724908
신이,114.60948559724908
걱정,114.60948559724908
애초,114.60948559724908
결론,114.60948559724908
지지,114.60948559724908
말하자면,112.26090118004936
파일,112.26090118004936
지급,112.26090118004936
표기,112.26090118004936
서클,112.14476048742415
스카디,111.16374632071066
인기,111.16374632071066
화이,111.16374632071066
댓글,111.16374632071066
코네,111.16374632071066
시대,110.13312774983126
해당,110.13312774983126
기가,110.13312774983126
친화,110.13312774983126
종일,110.13312774983126
이동,110.13312774983126
동시,110.13312774983126
지성,110.13312774983126
기원,109.16143471455214
평소,109.16143471455214
각종,109.16143471455214
축하,109.16143471455214
최대한,109.16143471455214
실화,109.16143471455214
출석,109.16143471455214
완성,109.16143471455214
의심,109.16143471455214
일반,109.16143471455214
화가,109.16143471455214
미래,109.16143471455214
유효,109.16143471455214
오류로,109.16143471455214
무소,109.16143471455214
아즈사,109.16143471455214
조건,107.94693225594429
고생,106.76120470148474
조정,105.65731875769352
피곤,105.65731875769352
검색,105.65731875769352
의문,105.65731875769352
손해,105.65731875769352
취급,105.13571295696013
커뮤니티,104.62470241949238
타입,104.62470241949238
동네,104.62470241949238
수작,104.62470241949238
커버,104.62470241949238
형식,104.62470241949238
적용,104.62470241949238
지루함,104.62470241949238
며칠,104.62470241949238
컨셉,104.62470241949238
노출,104.62470241949238
기획,104.62470241949238
멀티,103.70606025989527
그동안,103.65470847042943
체감,103.65470847042943
월간,103.65470847042943
아무것,103.65470847042943
수르트,103.65470847042943
성공,103.65470847042943
표시,103.65470847042943
대응,103.65470847042943
하진,103.65470847042943
도중,103.65470847042943
어문,103.42182531477731
엄폐,103.12011464163838
인증,101.20024898994777
유입,100.08862940764195
대사,100.08862940764195
힐링,99.05373633533767
사운드,99.05373633533767
실버,99.05373633533767
아아,99.05373633533767
처리,99.05373633533767
리스,99.05373633533767
실시간,98.12666542649613
전부,98.0856585182741
코드,98.0856585182741
이점,98.0856585182741
상점,98.0856585182741
변경,98.0856585182741
청부,98.0856585182741
와카,98.0856585182741
게스트,96.79232290923558
메일,96.79232290923558
기록,95.57416363138077
최소,94.45356572395126
문어,94.45356572395126
중국산,93.41605411379915
준수,93.41605411379915
종류,93.41605411379915
조각,93.41605411379915
방향,93.41605411379915
요새,93.41605411379915
엉망,93.41605411379915
지인,93.41605411379915
물자,93.41605411379915
정성,93.41605411379915
소식,93.41605411379915
계획,93.41605411379915
사과문,93.41605411379915
영향,93.41605411379915
성인,92.45015391298183
각각,92.45015391298183
욕구,92.45015391298183
아니,92.45015391298183
지만,92.45015391298183
압도,92.45015391298183
여타,92.45015391298183
수동,92.45015391298183
여유,92.45015391298183
말이,92.45015391298183
발진,92.45015391298183
