term,tf
확보,21
훈련,21
니들,21
배려,21
물품,21
박스,21
근본,21
공유,21
냄새,21
스펙,21
대시,21
검사,21
메세지,21
유일,21
술집,21
곳곳,21
안내,21
지능,21
이속,21
호러,21
시민,21
며칠,21
총기,21
플러스,21
리얼,21
모델링,21
시설,21
패스,21
미로,21
폰트,21
읽기,21
대여,21
계열,21
블레이드,21
프로스트,21
슈팅,21
선수,21
대항해시대,21
젤다,21
보드,21
장착,20
여부,20
스크립트,20
상대방,20
아이작,20
효과음,20
복사,20
손해,20
해킹,20
눈물,20
사용자,20
의존,20
단위,20
매니아,20
가야,20
출력,20
동네,20
한편,20
병맛,20
레이저,20
광역,20
차원,20
나레이션,20
전설,20
보정,20
다시,20
이나,20
덩어리,20
말씀,20
기초,20
해고,20
중독,20
쓰기,20
세부,20
좌우,20
구글,20
방문,20
나이,20
문구,20
자동차,20
찐따,20
주얼,20
픽셀,20
음성,20
크레딧,20
발동,19
여유,19
거품,19
타입,19
상품,19
복구,19
타이틀,19
상식,19
먹이,19
유기,19
다음날,19
화장실,19
가드,19
버림,19
늑대,19
어둠,19
실질,19
날짜,19
기사,19
엔드,19
리버,19
지구,19
흔적,19
시험,19
퍼센트,19
리트,19
공포감,19
차단,19
클래스,19
목록,19
추후,19
습득,19
프로젝트,19
취소,19
인칭,19
별거,19
클리셰,19
조각,19
일수,19
문예부,19
여타,18
제로,18
아무도,18
데드,18
치킨,18
아트워크,18
멘탈,18
보호,18
댓글,18
확정,18
심장,18
해제,18
벌레,18
계정,18
앞으로,18
추락,18
예시,18
잠깐,18
경고,18
장애물,18
미만,18
군대,18
바보,18
개조,18
분대,18
전문,18
담당,18
진상,18
마이너스,18
평소,18
제도,18
구체,18
정신병,18
제품,18
진단,18
불필요,18
하나하나,18
잠입,18
번호,18
세월,18
나사,18
마크,18
유일한,18
저주,18
드라마,18
대응,18
망치,18
언더테일,18
대검,18
고유,18
해독,18
장식품,18
단축키,17
글자,17
선형,17
연계,17
해소,17
매우,17
문명,17
발사,17
문자,17
보장,17
가가,17
돌파,17
본적,17
기도,17
이지,17
스윙,17
쉬프트,17
연습,17
심리,17
파워,17
퇴근,17
장식,17
