,게임,스토리,번역,캐릭터,과금,업데이트,플레이,생각,문제,정도,재미,가챠,이벤트,오역,시간,운영,시작,로딩,오류,확률,사람,돈,진행,최고,부족,처음,재화,전투,자체,접속,디펜스,필요,스타,모바일,다운로드,부분,붕괴,시스템,난이도,단점,스테이지,수정,개선,이성,추천,기대,해결,광고,계정,추가,화면,수준,이해,느낌,초반,이상,출시,지금,보상,전략,이번,오픈,삭제,리뷰,레벨,버스,감사,매력,이후,요소,그래픽,유도,장점,메인,제가,설치,버전,스킵,육성,최적화,만족,로그인,회사,디자인,머리,부탁,마음,이건,자동,지능,별점,불편,복귀,하루,조작,사용,이랑,신경,몰입,한국
설치,90.0,14.0,2.0,15.0,10.0,46.0,25.0,7.0,20.0,9.0,2.0,3.0,6.0,1.0,18.0,3.0,13.0,27.0,12.0,2.0,12.0,5.0,6.0,1.0,5.0,13.0,0.0,7.0,2.0,21.0,2.0,3.0,3.0,5.0,25.0,1.0,3.0,4.0,2.0,3.0,0.0,4.0,2.0,0.0,4.0,5.0,26.0,8.0,11.0,11.0,25.0,2.0,4.0,2.0,1.0,5.0,4.0,5.0,2.0,3.0,10.0,4.0,39.0,10.0,0.0,1.0,4.0,1.0,16.0,3.0,3.0,3.0,1.0,1.0,6.0,0.0,5.0,1.0,1.0,4.0,1.0,10.0,2.0,0.0,1.0,7.0,2.0,3.0,3.0,0.0,2.0,5.0,4.0,4.0,1.0,9.0,1.0,2.0,0.0,1.0
버전,89.0,79.0,47.0,46.0,16.0,52.0,29.0,21.0,26.0,27.0,7.0,9.0,20.0,22.0,14.0,4.0,14.0,5.0,5.0,4.0,14.0,15.0,14.0,4.0,19.0,3.0,12.0,10.0,8.0,4.0,0.0,5.0,17.0,10.0,11.0,9.0,4.0,8.0,8.0,9.0,4.0,4.0,14.0,0.0,4.0,9.0,11.0,2.0,1.0,12.0,3.0,15.0,10.0,13.0,6.0,7.0,16.0,12.0,2.0,2.0,12.0,15.0,3.0,7.0,3.0,6.0,0.0,6.0,6.0,4.0,4.0,2.0,7.0,12.0,2.0,5.0,0.0,2.0,9.0,2.0,7.0,2.0,6.0,6.0,2.0,1.0,3.0,6.0,0.0,0.0,3.0,5.0,4.0,5.0,2.0,6.0,4.0,4.0,6.0,10.0
스킵,97.0,95.0,4.0,31.0,13.0,6.0,19.0,18.0,6.0,12.0,16.0,11.0,15.0,0.0,28.0,2.0,12.0,6.0,4.0,10.0,25.0,2.0,17.0,1.0,3.0,13.0,5.0,21.0,4.0,5.0,6.0,9.0,3.0,3.0,6.0,4.0,3.0,15.0,5.0,10.0,7.0,1.0,3.0,2.0,4.0,4.0,1.0,3.0,1.0,8.0,2.0,2.0,2.0,7.0,9.0,4.0,5.0,4.0,6.0,5.0,1.0,5.0,10.0,2.0,8.0,1.0,1.0,7.0,5.0,4.0,6.0,5.0,4.0,3.0,4.0,1.0,2.0,0.0,3.0,2.0,2.0,2.0,3.0,0.0,3.0,1.0,0.0,2.0,12.0,2.0,3.0,11.0,1.0,7.0,6.0,2.0,5.0,2.0,3.0,1.0
육성,121.0,75.0,19.0,100.0,38.0,13.0,25.0,35.0,25.0,33.0,20.0,19.0,30.0,11.0,26.0,8.0,25.0,2.0,3.0,15.0,22.0,8.0,12.0,7.0,30.0,9.0,44.0,15.0,9.0,4.0,24.0,20.0,8.0,7.0,2.0,18.0,9.0,23.0,40.0,21.0,20.0,1.0,2.0,14.0,12.0,3.0,5.0,1.0,1.0,5.0,0.0,8.0,11.0,16.0,14.0,13.0,8.0,8.0,4.0,20.0,4.0,7.0,3.0,8.0,13.0,2.0,1.0,17.0,7.0,13.0,3.0,12.0,12.0,14.0,3.0,1.0,9.0,3.0,0.0,2.0,6.0,0.0,4.0,16.0,17.0,1.0,6.0,4.0,11.0,8.0,3.0,3.0,2.0,3.0,3.0,7.0,10.0,1.0,4.0,2.0
최적화,110.0,40.0,9.0,26.0,15.0,11.0,24.0,9.0,35.0,19.0,12.0,8.0,11.0,3.0,16.0,7.0,13.0,29.0,10.0,5.0,15.0,3.0,5.0,2.0,15.0,7.0,4.0,14.0,9.0,5.0,2.0,8.0,9.0,19.0,9.0,17.0,9.0,7.0,2.0,8.0,4.0,4.0,9.0,3.0,9.0,6.0,10.0,3.0,1.0,9.0,20.0,6.0,4.0,9.0,4.0,10.0,6.0,4.0,5.0,5.0,6.0,4.0,4.0,1.0,2.0,2.0,10.0,5.0,7.0,7.0,12.0,4.0,7.0,6.0,4.0,4.0,2.0,2.0,2.0,0.0,9.0,2.0,3.0,2.0,1.0,16.0,5.0,4.0,2.0,2.0,1.0,9.0,3.0,2.0,2.0,5.0,4.0,2.0,5.0,1.0
만족,131.0,74.0,22.0,60.0,38.0,19.0,35.0,33.0,22.0,22.0,18.0,14.0,23.0,11.0,17.0,13.0,11.0,4.0,6.0,10.0,18.0,5.0,16.0,4.0,19.0,13.0,15.0,14.0,12.0,1.0,10.0,7.0,15.0,10.0,1.0,21.0,16.0,8.0,10.0,13.0,6.0,6.0,9.0,12.0,9.0,16.0,8.0,5.0,1.0,8.0,5.0,12.0,10.0,8.0,5.0,8.0,7.0,10.0,8.0,9.0,12.0,12.0,1.0,9.0,7.0,5.0,4.0,9.0,3.0,7.0,7.0,5.0,9.0,8.0,4.0,1.0,7.0,2.0,6.0,9.0,0.0,1.0,3.0,8.0,6.0,6.0,9.0,5.0,5.0,6.0,4.0,7.0,2.0,4.0,3.0,3.0,11.0,4.0,8.0,6.0
로그인,64.0,7.0,1.0,7.0,1.0,16.0,12.0,6.0,20.0,10.0,3.0,3.0,6.0,1.0,11.0,4.0,18.0,21.0,64.0,3.0,5.0,1.0,8.0,2.0,1.0,10.0,1.0,5.0,11.0,27.0,2.0,2.0,5.0,6.0,5.0,1.0,4.0,2.0,2.0,4.0,1.0,4.0,4.0,0.0,0.0,2.0,18.0,1.0,26.0,1.0,20.0,0.0,1.0,2.0,2.0,3.0,5.0,4.0,3.0,0.0,5.0,1.0,6.0,2.0,1.0,1.0,3.0,3.0,8.0,1.0,1.0,1.0,3.0,1.0,10.0,10.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,9.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0
회사,124.0,53.0,52.0,27.0,10.0,12.0,11.0,20.0,20.0,23.0,5.0,13.0,15.0,25.0,9.0,25.0,8.0,2.0,6.0,10.0,10.0,25.0,13.0,4.0,9.0,10.0,11.0,9.0,11.0,3.0,1.0,3.0,7.0,6.0,4.0,7.0,4.0,7.0,2.0,5.0,4.0,7.0,9.0,1.0,4.0,9.0,5.0,8.0,1.0,3.0,1.0,13.0,12.0,5.0,3.0,7.0,5.0,8.0,5.0,4.0,10.0,8.0,0.0,3.0,5.0,10.0,1.0,5.0,3.0,6.0,1.0,5.0,4.0,7.0,2.0,2.0,6.0,3.0,4.0,3.0,3.0,0.0,0.0,6.0,0.0,1.0,2.0,9.0,2.0,1.0,6.0,2.0,0.0,4.0,5.0,3.0,5.0,6.0,3.0,4.0
디자인,121.0,93.0,24.0,128.0,23.0,17.0,29.0,29.0,14.0,30.0,15.0,10.0,15.0,11.0,13.0,10.0,17.0,3.0,7.0,9.0,14.0,10.0,14.0,8.0,21.0,7.0,15.0,13.0,15.0,2.0,11.0,8.0,9.0,12.0,1.0,16.0,13.0,17.0,7.0,23.0,8.0,4.0,3.0,5.0,8.0,11.0,4.0,0.0,0.0,5.0,1.0,14.0,6.0,15.0,10.0,7.0,14.0,3.0,6.0,10.0,3.0,11.0,1.0,5.0,11.0,9.0,5.0,16.0,6.0,12.0,18.0,4.0,16.0,12.0,3.0,0.0,6.0,0.0,16.0,2.0,8.0,0.0,6.0,0.0,3.0,1.0,9.0,8.0,6.0,2.0,1.0,6.0,7.0,5.0,5.0,2.0,6.0,5.0,5.0,4.0
머리,140.0,47.0,8.0,48.0,49.0,7.0,29.0,37.0,12.0,31.0,22.0,14.0,27.0,3.0,17.0,8.0,18.0,2.0,3.0,9.0,23.0,8.0,17.0,6.0,18.0,12.0,18.0,6.0,11.0,2.0,24.0,14.0,1.0,8.0,6.0,9.0,3.0,10.0,16.0,19.0,24.0,2.0,2.0,10.0,12.0,3.0,4.0,1.0,4.0,8.0,3.0,5.0,6.0,8.0,10.0,4.0,6.0,6.0,8.0,22.0,2.0,5.0,2.0,7.0,8.0,0.0,2.0,9.0,2.0,7.0,2.0,14.0,12.0,8.0,3.0,1.0,2.0,3.0,17.0,1.0,6.0,1.0,0.0,3.0,0.0,2.0,5.0,4.0,3.0,11.0,0.0,1.0,2.0,3.0,5.0,6.0,4.0,6.0,5.0,0.0
부탁,102.0,32.0,25.0,25.0,9.0,30.0,33.0,19.0,27.0,13.0,7.0,7.0,17.0,12.0,11.0,11.0,15.0,11.0,18.0,6.0,8.0,5.0,9.0,5.0,5.0,9.0,1.0,8.0,11.0,13.0,5.0,5.0,5.0,11.0,4.0,8.0,4.0,7.0,6.0,0.0,9.0,27.0,15.0,4.0,6.0,3.0,24.0,2.0,7.0,10.0,14.0,6.0,2.0,3.0,5.0,6.0,0.0,6.0,7.0,1.0,4.0,5.0,3.0,10.0,5.0,3.0,11.0,1.0,12.0,6.0,4.0,2.0,2.0,2.0,10.0,7.0,1.0,1.0,1.0,16.0,6.0,9.0,1.0,1.0,2.0,0.0,3.0,2.0,4.0,2.0,2.0,9.0,4.0,4.0,1.0,9.0,3.0,3.0,2.0,2.0
마음,116.0,63.0,18.0,71.0,20.0,15.0,34.0,27.0,17.0,18.0,10.0,17.0,20.0,9.0,17.0,20.0,14.0,5.0,7.0,8.0,12.0,10.0,12.0,5.0,14.0,15.0,13.0,9.0,9.0,6.0,7.0,15.0,8.0,10.0,2.0,9.0,12.0,11.0,5.0,7.0,12.0,7.0,7.0,10.0,7.0,8.0,7.0,8.0,5.0,5.0,6.0,6.0,8.0,15.0,7.0,9.0,10.0,14.0,6.0,14.0,14.0,7.0,3.0,6.0,4.0,5.0,8.0,7.0,9.0,4.0,5.0,11.0,2.0,4.0,11.0,2.0,3.0,0.0,6.0,5.0,9.0,1.0,2.0,9.0,5.0,3.0,0.0,7.0,3.0,4.0,5.0,6.0,4.0,7.0,7.0,6.0,6.0,7.0,5.0,3.0
이건,120.0,63.0,19.0,41.0,24.0,10.0,24.0,29.0,22.0,34.0,10.0,20.0,18.0,12.0,17.0,15.0,15.0,7.0,5.0,9.0,18.0,17.0,13.0,2.0,8.0,7.0,9.0,9.0,11.0,4.0,9.0,8.0,9.0,10.0,5.0,13.0,8.0,8.0,6.0,14.0,11.0,3.0,10.0,3.0,4.0,4.0,3.0,7.0,2.0,4.0,2.0,8.0,9.0,15.0,12.0,7.0,6.0,7.0,6.0,4.0,10.0,8.0,5.0,9.0,8.0,6.0,3.0,5.0,2.0,4.0,5.0,3.0,10.0,8.0,8.0,3.0,6.0,2.0,4.0,4.0,5.0,1.0,9.0,8.0,4.0,2.0,7.0,0.0,3.0,3.0,5.0,2.0,5.0,7.0,4.0,5.0,1.0,6.0,7.0,1.0
자동,106.0,49.0,5.0,44.0,17.0,11.0,31.0,19.0,12.0,17.0,14.0,8.0,13.0,4.0,28.0,7.0,11.0,5.0,6.0,15.0,10.0,4.0,12.0,5.0,9.0,13.0,19.0,55.0,5.0,3.0,10.0,18.0,2.0,7.0,0.0,9.0,6.0,22.0,7.0,17.0,14.0,4.0,9.0,10.0,7.0,1.0,0.0,4.0,2.0,12.0,2.0,2.0,5.0,8.0,13.0,4.0,2.0,6.0,3.0,10.0,1.0,7.0,8.0,5.0,9.0,2.0,5.0,0.0,1.0,6.0,2.0,4.0,10.0,8.0,4.0,3.0,0.0,12.0,11.0,2.0,5.0,1.0,2.0,6.0,3.0,4.0,3.0,3.0,0.0,5.0,1.0,10.0,4.0,7.0,9.0,4.0,7.0,2.0,3.0,2.0
지능,137.0,21.0,5.0,31.0,40.0,4.0,24.0,16.0,9.0,14.0,13.0,10.0,20.0,2.0,15.0,6.0,9.0,0.0,3.0,5.0,13.0,9.0,7.0,6.0,18.0,10.0,10.0,3.0,9.0,2.0,22.0,12.0,0.0,5.0,0.0,6.0,1.0,6.0,14.0,15.0,17.0,0.0,1.0,16.0,10.0,4.0,1.0,0.0,1.0,4.0,1.0,3.0,1.0,6.0,9.0,5.0,1.0,5.0,4.0,8.0,2.0,4.0,0.0,5.0,6.0,0.0,1.0,7.0,2.0,6.0,1.0,9.0,8.0,2.0,0.0,0.0,0.0,2.0,8.0,2.0,6.0,0.0,1.0,2.0,11.0,2.0,4.0,3.0,5.0,0.0,2.0,1.0,1.0,2.0,3.0,6.0,5.0,3.0,2.0,2.0
별점,87.0,28.0,40.0,20.0,6.0,10.0,13.0,21.0,29.0,13.0,6.0,7.0,10.0,23.0,5.0,18.0,8.0,1.0,6.0,2.0,6.0,5.0,5.0,2.0,10.0,9.0,6.0,2.0,8.0,1.0,4.0,7.0,8.0,4.0,2.0,5.0,4.0,4.0,2.0,1.0,5.0,18.0,8.0,1.0,1.0,5.0,8.0,0.0,2.0,8.0,0.0,6.0,10.0,2.0,2.0,4.0,6.0,14.0,3.0,3.0,6.0,3.0,3.0,6.0,2.0,4.0,5.0,2.0,1.0,7.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,6.0,1.0,0.0,2.0,5.0,5.0,1.0,2.0,0.0,4.0,2.0,1.0,4.0,0.0,3.0,2.0,2.0,0.0
불편,117.0,58.0,25.0,39.0,20.0,25.0,31.0,26.0,20.0,22.0,13.0,13.0,20.0,9.0,17.0,8.0,16.0,13.0,8.0,7.0,16.0,5.0,14.0,0.0,9.0,15.0,9.0,20.0,12.0,4.0,6.0,9.0,7.0,7.0,7.0,9.0,11.0,18.0,6.0,11.0,11.0,8.0,11.0,6.0,11.0,8.0,8.0,3.0,6.0,10.0,14.0,5.0,9.0,9.0,6.0,9.0,5.0,11.0,4.0,5.0,5.0,11.0,5.0,5.0,8.0,5.0,6.0,9.0,5.0,6.0,7.0,8.0,10.0,6.0,5.0,5.0,5.0,11.0,3.0,9.0,7.0,2.0,2.0,6.0,1.0,9.0,6.0,2.0,10.0,1.0,4.0,0.0,2.0,6.0,14.0,7.0,3.0,6.0,2.0,1.0
복귀,73.0,36.0,4.0,26.0,19.0,12.0,14.0,18.0,16.0,20.0,10.0,12.0,19.0,4.0,12.0,6.0,16.0,10.0,4.0,7.0,4.0,4.0,13.0,0.0,5.0,11.0,9.0,3.0,5.0,8.0,0.0,2.0,4.0,8.0,8.0,11.0,4.0,5.0,7.0,6.0,6.0,6.0,9.0,0.0,4.0,10.0,6.0,5.0,15.0,7.0,6.0,2.0,1.0,6.0,5.0,5.0,11.0,7.0,14.0,3.0,11.0,7.0,11.0,3.0,9.0,2.0,4.0,3.0,5.0,3.0,3.0,6.0,5.0,5.0,7.0,4.0,4.0,1.0,2.0,3.0,2.0,2.0,0.0,7.0,2.0,4.0,4.0,5.0,4.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,3.0,0.0
하루,108.0,44.0,17.0,22.0,25.0,20.0,24.0,26.0,17.0,34.0,13.0,8.0,16.0,5.0,33.0,12.0,14.0,8.0,11.0,5.0,13.0,13.0,8.0,1.0,15.0,7.0,6.0,7.0,11.0,17.0,5.0,10.0,5.0,7.0,7.0,7.0,7.0,8.0,5.0,14.0,8.0,1.0,7.0,21.0,12.0,7.0,8.0,2.0,1.0,4.0,2.0,3.0,6.0,2.0,9.0,16.0,7.0,7.0,7.0,7.0,2.0,9.0,7.0,6.0,3.0,4.0,2.0,4.0,7.0,3.0,4.0,6.0,3.0,7.0,4.0,4.0,5.0,7.0,3.0,2.0,4.0,2.0,4.0,5.0,3.0,4.0,7.0,7.0,7.0,2.0,1.0,6.0,1.0,0.0,3.0,6.0,4.0,4.0,5.0,2.0
조작,101.0,47.0,7.0,36.0,20.0,2.0,17.0,15.0,14.0,18.0,9.0,20.0,14.0,1.0,11.0,14.0,10.0,12.0,8.0,59.0,9.0,15.0,17.0,1.0,8.0,9.0,8.0,12.0,8.0,3.0,2.0,15.0,3.0,8.0,2.0,10.0,7.0,12.0,8.0,9.0,7.0,4.0,5.0,1.0,3.0,6.0,9.0,4.0,2.0,1.0,4.0,6.0,8.0,6.0,2.0,6.0,1.0,6.0,6.0,12.0,2.0,5.0,4.0,7.0,5.0,2.0,2.0,5.0,4.0,11.0,4.0,5.0,6.0,5.0,5.0,1.0,2.0,6.0,3.0,2.0,3.0,1.0,5.0,5.0,5.0,1.0,7.0,4.0,9.0,3.0,4.0,14.0,2.0,3.0,0.0,2.0,4.0,4.0,5.0,5.0
사용,99.0,25.0,15.0,36.0,24.0,23.0,33.0,23.0,25.0,25.0,4.0,14.0,9.0,4.0,10.0,7.0,15.0,5.0,13.0,6.0,12.0,5.0,18.0,2.0,14.0,2.0,13.0,10.0,13.0,8.0,4.0,14.0,5.0,8.0,7.0,8.0,1.0,12.0,10.0,14.0,10.0,5.0,9.0,12.0,8.0,2.0,12.0,1.0,17.0,8.0,7.0,5.0,6.0,7.0,5.0,12.0,6.0,2.0,7.0,9.0,7.0,9.0,6.0,12.0,9.0,4.0,1.0,4.0,8.0,5.0,5.0,7.0,11.0,6.0,7.0,9.0,6.0,2.0,7.0,5.0,3.0,5.0,3.0,2.0,6.0,9.0,6.0,5.0,4.0,6.0,0.0,7.0,2.0,6.0,2.0,0.0,3.0,2.0,2.0,5.0
이랑,97.0,53.0,27.0,44.0,21.0,14.0,11.0,25.0,14.0,19.0,14.0,17.0,22.0,12.0,13.0,10.0,5.0,7.0,1.0,13.0,19.0,13.0,8.0,2.0,9.0,4.0,7.0,11.0,13.0,3.0,3.0,8.0,12.0,3.0,2.0,10.0,13.0,6.0,8.0,14.0,6.0,2.0,2.0,4.0,4.0,1.0,4.0,6.0,2.0,5.0,7.0,4.0,6.0,7.0,8.0,8.0,7.0,11.0,8.0,5.0,3.0,6.0,6.0,10.0,5.0,7.0,2.0,6.0,4.0,3.0,11.0,4.0,6.0,2.0,2.0,1.0,4.0,5.0,10.0,4.0,11.0,0.0,5.0,6.0,4.0,3.0,6.0,1.0,7.0,5.0,3.0,3.0,1.0,4.0,4.0,3.0,0.0,7.0,3.0,5.0
신경,99.0,53.0,70.0,40.0,21.0,14.0,29.0,27.0,28.0,23.0,12.0,13.0,24.0,19.0,11.0,19.0,9.0,7.0,7.0,8.0,13.0,14.0,13.0,5.0,9.0,10.0,13.0,4.0,15.0,5.0,5.0,12.0,9.0,11.0,0.0,13.0,9.0,9.0,8.0,8.0,5.0,4.0,9.0,2.0,6.0,13.0,9.0,6.0,0.0,8.0,3.0,7.0,10.0,7.0,7.0,9.0,13.0,13.0,4.0,4.0,5.0,7.0,4.0,8.0,4.0,4.0,8.0,8.0,6.0,6.0,1.0,6.0,4.0,6.0,6.0,2.0,4.0,2.0,1.0,2.0,4.0,0.0,6.0,5.0,6.0,3.0,7.0,6.0,2.0,3.0,2.0,6.0,2.0,4.0,4.0,2.0,7.0,0.0,6.0,7.0
몰입,119.0,119.0,63.0,59.0,18.0,12.0,26.0,27.0,21.0,34.0,23.0,9.0,12.0,38.0,14.0,4.0,11.0,1.0,5.0,8.0,13.0,7.0,19.0,6.0,10.0,12.0,10.0,10.0,17.0,1.0,5.0,4.0,10.0,9.0,1.0,18.0,15.0,9.0,6.0,12.0,7.0,4.0,6.0,1.0,8.0,12.0,6.0,3.0,1.0,2.0,0.0,18.0,15.0,7.0,9.0,8.0,7.0,5.0,6.0,7.0,4.0,11.0,1.0,4.0,4.0,8.0,8.0,15.0,0.0,10.0,7.0,5.0,9.0,10.0,4.0,0.0,6.0,3.0,4.0,5.0,8.0,0.0,3.0,5.0,5.0,2.0,5.0,7.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,3.0,6.0,0.0,6.0
한국,101.0,43.0,56.0,33.0,16.0,13.0,23.0,16.0,24.0,17.0,5.0,8.0,13.0,24.0,4.0,19.0,5.0,1.0,8.0,4.0,12.0,12.0,10.0,4.0,9.0,8.0,4.0,1.0,10.0,4.0,6.0,4.0,18.0,14.0,2.0,10.0,6.0,3.0,1.0,9.0,7.0,13.0,8.0,1.0,5.0,8.0,11.0,4.0,1.0,7.0,1.0,15.0,14.0,7.0,2.0,6.0,8.0,4.0,3.0,5.0,14.0,5.0,5.0,5.0,0.0,6.0,7.0,6.0,4.0,8.0,5.0,4.0,6.0,6.0,6.0,1.0,10.0,1.0,2.0,1.0,6.0,1.0,4.0,4.0,0.0,2.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,5.0,5.0,5.0,7.0,6.0,0.0
