,게임,스토리,번역,캐릭터,과금,업데이트,플레이,생각,문제,정도,재미,가챠,이벤트,오역,시간,운영,시작,로딩,오류,확률,사람,돈,진행,최고,부족,처음,재화,전투,자체,접속,디펜스,필요,스타,모바일,다운로드,부분,붕괴,시스템,난이도,단점,스테이지,수정,개선,이성,추천,기대,해결,광고,계정,추가,화면,수준,이해,느낌,초반,이상,출시,지금,보상,전략,이번,오픈,삭제,리뷰,레벨,버스,감사,매력,이후,요소,그래픽,유도,장점,메인,제가,설치,버전,스킵,육성,최적화,만족,로그인,회사,디자인,머리,부탁,마음,이건,자동,지능,별점,불편,복귀,하루,조작,사용,이랑,신경,몰입,한국
스타,172.0,82.0,50.0,62.0,18.0,25.0,37.0,43.0,34.0,33.0,13.0,12.0,18.0,28.0,14.0,22.0,21.0,2.0,16.0,3.0,25.0,12.0,16.0,9.0,9.0,17.0,7.0,14.0,9.0,4.0,4.0,8.0,0.0,13.0,9.0,19.0,99.0,7.0,7.0,8.0,5.0,3.0,4.0,0.0,13.0,26.0,8.0,6.0,5.0,8.0,6.0,15.0,17.0,15.0,11.0,21.0,13.0,11.0,6.0,3.0,20.0,17.0,4.0,8.0,12.0,21.0,13.0,14.0,6.0,7.0,12.0,4.0,11.0,11.0,13.0,3.0,17.0,3.0,8.0,9.0,15.0,5.0,7.0,9.0,1.0,5.0,8.0,9.0,2.0,0.0,8.0,7.0,4.0,5.0,3.0,5.0,12.0,9.0,10.0,18.0
모바일,268.0,68.0,13.0,52.0,49.0,23.0,45.0,40.0,23.0,32.0,21.0,16.0,29.0,4.0,28.0,19.0,32.0,10.0,11.0,10.0,19.0,18.0,19.0,25.0,19.0,21.0,9.0,16.0,15.0,14.0,20.0,11.0,13.0,0.0,9.0,19.0,15.0,15.0,11.0,15.0,14.0,9.0,12.0,6.0,20.0,11.0,13.0,9.0,3.0,9.0,6.0,18.0,9.0,15.0,10.0,11.0,17.0,22.0,7.0,15.0,8.0,20.0,3.0,8.0,9.0,6.0,7.0,13.0,9.0,19.0,14.0,10.0,11.0,7.0,18.0,5.0,10.0,3.0,7.0,19.0,10.0,6.0,6.0,12.0,8.0,11.0,10.0,10.0,7.0,5.0,4.0,7.0,8.0,7.0,8.0,8.0,3.0,11.0,9.0,14.0
다운로드,135.0,18.0,3.0,13.0,6.0,63.0,29.0,11.0,25.0,9.0,6.0,7.0,5.0,2.0,17.0,5.0,25.0,16.0,18.0,3.0,13.0,3.0,7.0,3.0,8.0,15.0,4.0,3.0,11.0,21.0,3.0,7.0,9.0,9.0,0.0,7.0,2.0,9.0,3.0,3.0,0.0,5.0,6.0,0.0,9.0,5.0,11.0,9.0,3.0,24.0,20.0,5.0,6.0,6.0,2.0,12.0,3.0,5.0,3.0,5.0,7.0,3.0,23.0,6.0,4.0,2.0,9.0,3.0,10.0,7.0,5.0,2.0,1.0,2.0,3.0,25.0,11.0,6.0,2.0,9.0,1.0,5.0,4.0,1.0,6.0,4.0,2.0,5.0,0.0,0.0,2.0,7.0,8.0,7.0,2.0,7.0,2.0,0.0,1.0,2.0
부분,207.0,126.0,62.0,99.0,52.0,29.0,48.0,68.0,53.0,59.0,29.0,24.0,36.0,27.0,25.0,24.0,29.0,14.0,24.0,13.0,39.0,16.0,33.0,4.0,29.0,14.0,22.0,27.0,31.0,12.0,19.0,15.0,19.0,19.0,7.0,0.0,18.0,25.0,16.0,24.0,12.0,22.0,42.0,6.0,16.0,19.0,12.0,4.0,2.0,12.0,20.0,14.0,31.0,25.0,26.0,15.0,15.0,16.0,10.0,17.0,12.0,19.0,2.0,12.0,18.0,11.0,12.0,22.0,11.0,22.0,14.0,10.0,16.0,22.0,7.0,1.0,9.0,4.0,18.0,17.0,21.0,1.0,7.0,16.0,9.0,8.0,9.0,13.0,9.0,6.0,5.0,9.0,11.0,7.0,10.0,8.0,10.0,13.0,18.0,10.0
붕괴,139.0,98.0,34.0,71.0,18.0,16.0,35.0,35.0,24.0,28.0,19.0,17.0,9.0,19.0,10.0,4.0,19.0,2.0,6.0,10.0,28.0,9.0,14.0,7.0,10.0,17.0,19.0,24.0,9.0,2.0,2.0,10.0,99.0,15.0,2.0,18.0,0.0,8.0,6.0,23.0,3.0,4.0,5.0,1.0,16.0,24.0,9.0,7.0,4.0,9.0,4.0,11.0,21.0,26.0,19.0,8.0,10.0,4.0,6.0,9.0,14.0,17.0,6.0,6.0,8.0,19.0,8.0,13.0,3.0,9.0,17.0,6.0,12.0,10.0,12.0,3.0,4.0,3.0,9.0,9.0,16.0,4.0,4.0,13.0,3.0,4.0,12.0,8.0,6.0,1.0,4.0,11.0,4.0,7.0,7.0,1.0,13.0,9.0,15.0,6.0
시스템,197.0,84.0,20.0,87.0,67.0,20.0,43.0,56.0,34.0,39.0,19.0,39.0,29.0,8.0,44.0,20.0,30.0,17.0,44.0,26.0,28.0,25.0,30.0,9.0,28.0,14.0,31.0,46.0,24.0,14.0,15.0,35.0,7.0,15.0,9.0,25.0,8.0,0.0,22.0,22.0,25.0,7.0,14.0,13.0,9.0,15.0,10.0,4.0,4.0,21.0,7.0,10.0,11.0,14.0,17.0,19.0,16.0,15.0,14.0,9.0,4.0,20.0,8.0,21.0,20.0,4.0,12.0,17.0,11.0,19.0,12.0,14.0,18.0,13.0,10.0,4.0,8.0,15.0,23.0,7.0,8.0,2.0,7.0,17.0,10.0,7.0,11.0,8.0,22.0,6.0,4.0,18.0,5.0,8.0,12.0,12.0,6.0,9.0,9.0,3.0
난이도,180.0,112.0,8.0,100.0,52.0,18.0,40.0,44.0,20.0,56.0,28.0,35.0,53.0,4.0,23.0,13.0,29.0,6.0,5.0,26.0,26.0,14.0,30.0,8.0,24.0,21.0,39.0,16.0,19.0,7.0,23.0,26.0,7.0,11.0,3.0,16.0,6.0,22.0,0.0,35.0,34.0,8.0,7.0,12.0,21.0,8.0,10.0,3.0,1.0,13.0,2.0,9.0,10.0,14.0,24.0,20.0,19.0,14.0,19.0,18.0,7.0,13.0,2.0,8.0,26.0,1.0,4.0,14.0,8.0,13.0,5.0,18.0,23.0,16.0,7.0,2.0,8.0,5.0,40.0,2.0,10.0,2.0,2.0,7.0,16.0,6.0,5.0,6.0,7.0,14.0,2.0,6.0,7.0,5.0,8.0,10.0,8.0,8.0,6.0,1.0
단점,213.0,151.0,21.0,118.0,69.0,21.0,54.0,57.0,33.0,65.0,31.0,32.0,39.0,18.0,42.0,11.0,27.0,18.0,7.0,29.0,31.0,15.0,33.0,11.0,40.0,15.0,35.0,30.0,23.0,6.0,19.0,18.0,8.0,15.0,3.0,24.0,23.0,22.0,35.0,0.0,26.0,6.0,13.0,28.0,15.0,11.0,4.0,3.0,0.0,17.0,11.0,16.0,17.0,21.0,22.0,20.0,13.0,16.0,18.0,22.0,10.0,17.0,2.0,13.0,23.0,11.0,5.0,15.0,8.0,21.0,11.0,16.0,125.0,24.0,7.0,3.0,9.0,10.0,21.0,8.0,13.0,4.0,5.0,23.0,19.0,0.0,7.0,14.0,17.0,15.0,1.0,11.0,6.0,14.0,9.0,14.0,14.0,8.0,12.0,9.0
스테이지,179.0,74.0,16.0,71.0,59.0,20.0,41.0,47.0,27.0,50.0,25.0,27.0,47.0,7.0,33.0,15.0,29.0,9.0,14.0,12.0,24.0,6.0,34.0,8.0,27.0,15.0,27.0,17.0,10.0,5.0,22.0,25.0,5.0,14.0,0.0,12.0,3.0,25.0,34.0,26.0,0.0,8.0,10.0,27.0,18.0,13.0,11.0,2.0,7.0,11.0,7.0,14.0,3.0,13.0,13.0,23.0,10.0,8.0,21.0,28.0,6.0,8.0,5.0,12.0,14.0,3.0,11.0,14.0,10.0,12.0,4.0,15.0,23.0,8.0,6.0,0.0,4.0,7.0,20.0,4.0,6.0,1.0,4.0,8.0,24.0,9.0,12.0,11.0,14.0,17.0,5.0,11.0,6.0,8.0,7.0,10.0,6.0,5.0,7.0,7.0
수정,133.0,61.0,99.0,38.0,17.0,37.0,29.0,39.0,36.0,32.0,11.0,9.0,28.0,53.0,12.0,27.0,15.0,10.0,42.0,9.0,11.0,15.0,12.0,2.0,9.0,12.0,14.0,8.0,10.0,8.0,4.0,12.0,3.0,9.0,5.0,22.0,4.0,7.0,8.0,6.0,8.0,0.0,19.0,1.0,8.0,12.0,9.0,9.0,3.0,5.0,8.0,17.0,14.0,6.0,7.0,11.0,9.0,14.0,10.0,6.0,9.0,13.0,8.0,25.0,5.0,2.0,15.0,5.0,17.0,4.0,6.0,7.0,8.0,11.0,6.0,4.0,4.0,1.0,1.0,4.0,6.0,4.0,7.0,4.0,2.0,27.0,7.0,3.0,4.0,0.0,18.0,8.0,6.0,1.0,4.0,5.0,2.0,4.0,4.0,13.0
