,게임,스테이지,제작,시간,플레이,느낌,재미,스토리,생각,보스,플레이어,진행,사람,아이템,조작,기술,요소,추천,퍼즐,난이도,전투,처음,문제,공격,캐릭터,업데이트,구매,돈,마지막,시스템,시작,무기,서버,불편,개발자,그래픽,반복,환불,이상,수준,회차,기대,패턴,초반,평가,필요,짜증,저장,힘들,친구,퀘스트,사용,할인,선택,이동,소울,추가,부족,구간,공포,가격,점프,중간,Roguelike,모드,이해,이유,번역,주인공,몬스터,기본,설정,단점,장르,한글,디자인,친절,노가다,사실,액션,모션,설명,생존,존재,도전,멀티,방식,장점,아쉽,다음,파밍,레벨,월드,쓰레기,의미,상태,출시,마을,분위기,상황
설정,82.0,32.0,49.0,39.0,46.0,42.0,40.0,33.0,33.0,19.0,34.0,26.0,29.0,22.0,30.0,16.0,24.0,29.0,12.0,25.0,19.0,27.0,30.0,20.0,26.0,15.0,24.0,12.0,26.0,27.0,28.0,19.0,4.0,30.0,22.0,15.0,17.0,14.0,15.0,23.0,5.0,19.0,10.0,19.0,21.0,24.0,17.0,10.0,10.0,3.0,6.0,20.0,13.0,19.0,16.0,6.0,16.0,14.0,11.0,4.0,12.0,12.0,10.0,7.0,12.0,18.0,15.0,9.0,15.0,8.0,27.0,0.0,14.0,17.0,10.0,10.0,9.0,9.0,23.0,10.0,11.0,17.0,8.0,14.0,10.0,8.0,16.0,14.0,12.0,16.0,5.0,12.0,10.0,5.0,13.0,19.0,11.0,2.0,9.0,15.0
단점,113.0,53.0,63.0,58.0,63.0,65.0,59.0,42.0,60.0,31.0,33.0,37.0,35.0,30.0,31.0,22.0,39.0,44.0,13.0,28.0,23.0,38.0,43.0,31.0,35.0,23.0,32.0,25.0,42.0,35.0,30.0,17.0,5.0,31.0,18.0,32.0,19.0,9.0,28.0,25.0,6.0,28.0,16.0,32.0,30.0,28.0,21.0,7.0,27.0,10.0,16.0,20.0,23.0,19.0,25.0,6.0,25.0,18.0,11.0,11.0,19.0,15.0,24.0,11.0,12.0,22.0,24.0,9.0,23.0,13.0,23.0,14.0,0.0,23.0,11.0,16.0,16.0,15.0,22.0,16.0,23.0,19.0,8.0,29.0,12.0,10.0,16.0,73.0,20.0,23.0,12.0,13.0,11.0,5.0,15.0,14.0,16.0,10.0,18.0,13.0
장르,95.0,41.0,50.0,36.0,42.0,47.0,50.0,29.0,47.0,25.0,38.0,25.0,36.0,23.0,26.0,19.0,40.0,26.0,11.0,32.0,18.0,20.0,28.0,18.0,21.0,14.0,17.0,14.0,24.0,25.0,20.0,14.0,3.0,24.0,15.0,19.0,14.0,6.0,21.0,17.0,6.0,17.0,17.0,17.0,20.0,23.0,17.0,6.0,21.0,4.0,9.0,17.0,10.0,11.0,18.0,8.0,13.0,13.0,12.0,7.0,13.0,15.0,9.0,22.0,9.0,21.0,19.0,8.0,20.0,10.0,17.0,17.0,23.0,0.0,6.0,17.0,14.0,9.0,21.0,12.0,10.0,10.0,11.0,20.0,15.0,3.0,19.0,27.0,17.0,15.0,11.0,16.0,9.0,8.0,11.0,11.0,8.0,6.0,17.0,16.0
한글,66.0,16.0,21.0,25.0,29.0,17.0,25.0,18.0,24.0,5.0,19.0,8.0,19.0,10.0,8.0,11.0,10.0,19.0,2.0,6.0,10.0,12.0,14.0,6.0,10.0,29.0,16.0,11.0,11.0,9.0,11.0,5.0,5.0,15.0,9.0,10.0,2.0,8.0,8.0,16.0,2.0,9.0,1.0,6.0,15.0,8.0,6.0,5.0,5.0,3.0,8.0,9.0,11.0,7.0,3.0,2.0,9.0,8.0,6.0,2.0,22.0,5.0,6.0,2.0,8.0,11.0,5.0,27.0,3.0,3.0,9.0,10.0,11.0,6.0,0.0,1.0,7.0,5.0,6.0,3.0,4.0,6.0,6.0,7.0,5.0,7.0,7.0,13.0,8.0,6.0,6.0,2.0,7.0,1.0,4.0,7.0,4.0,6.0,6.0,5.0
디자인,86.0,42.0,44.0,38.0,44.0,41.0,42.0,34.0,41.0,29.0,30.0,35.0,30.0,18.0,21.0,19.0,22.0,36.0,20.0,22.0,27.0,21.0,34.0,17.0,18.0,12.0,14.0,10.0,15.0,22.0,15.0,18.0,1.0,22.0,16.0,24.0,19.0,4.0,13.0,21.0,7.0,12.0,13.0,14.0,17.0,12.0,19.0,9.0,13.0,6.0,9.0,13.0,7.0,16.0,16.0,10.0,15.0,17.0,12.0,11.0,7.0,11.0,11.0,7.0,6.0,14.0,8.0,4.0,14.0,12.0,14.0,10.0,16.0,17.0,1.0,0.0,9.0,9.0,13.0,10.0,10.0,8.0,5.0,11.0,11.0,4.0,18.0,17.0,11.0,13.0,5.0,53.0,7.0,6.0,9.0,12.0,9.0,5.0,20.0,9.0
친절,117.0,40.0,35.0,40.0,43.0,44.0,36.0,32.0,34.0,20.0,33.0,34.0,31.0,20.0,29.0,11.0,23.0,21.0,13.0,15.0,12.0,16.0,22.0,16.0,17.0,8.0,11.0,11.0,19.0,18.0,18.0,6.0,2.0,27.0,11.0,14.0,4.0,11.0,8.0,22.0,4.0,18.0,9.0,15.0,11.0,18.0,16.0,6.0,16.0,4.0,9.0,12.0,7.0,8.0,9.0,7.0,8.0,6.0,4.0,10.0,12.0,12.0,7.0,4.0,3.0,12.0,5.0,7.0,8.0,7.0,13.0,9.0,16.0,14.0,7.0,9.0,0.0,6.0,11.0,4.0,8.0,26.0,5.0,9.0,6.0,2.0,15.0,18.0,8.0,17.0,9.0,7.0,6.0,7.0,6.0,8.0,8.0,5.0,16.0,6.0
노가다,75.0,35.0,45.0,49.0,48.0,42.0,48.0,25.0,36.0,19.0,24.0,28.0,20.0,21.0,15.0,15.0,31.0,22.0,7.0,20.0,15.0,25.0,20.0,12.0,21.0,15.0,17.0,15.0,23.0,21.0,22.0,13.0,1.0,16.0,12.0,9.0,32.0,11.0,16.0,21.0,12.0,15.0,13.0,20.0,18.0,24.0,12.0,11.0,18.0,5.0,11.0,14.0,13.0,16.0,14.0,6.0,12.0,15.0,6.0,0.0,16.0,5.0,12.0,12.0,10.0,11.0,14.0,9.0,8.0,9.0,13.0,9.0,15.0,9.0,5.0,9.0,6.0,0.0,18.0,8.0,6.0,8.0,9.0,13.0,8.0,4.0,8.0,15.0,10.0,11.0,12.0,15.0,10.0,3.0,12.0,8.0,9.0,8.0,6.0,10.0
사실,108.0,51.0,71.0,63.0,64.0,68.0,56.0,53.0,62.0,29.0,47.0,38.0,44.0,34.0,34.0,33.0,36.0,43.0,19.0,35.0,30.0,38.0,47.0,25.0,33.0,19.0,36.0,20.0,31.0,29.0,22.0,19.0,9.0,26.0,31.0,24.0,20.0,14.0,32.0,37.0,12.0,29.0,21.0,21.0,26.0,39.0,16.0,14.0,17.0,7.0,14.0,25.0,16.0,21.0,20.0,8.0,24.0,29.0,18.0,7.0,19.0,22.0,14.0,12.0,11.0,20.0,27.0,10.0,25.0,14.0,20.0,23.0,22.0,21.0,6.0,13.0,11.0,18.0,0.0,16.0,18.0,21.0,11.0,26.0,15.0,6.0,18.0,21.0,20.0,21.0,8.0,14.0,12.0,7.0,24.0,21.0,17.0,7.0,16.0,28.0
액션,77.0,29.0,36.0,34.0,34.0,46.0,44.0,24.0,40.0,23.0,26.0,21.0,18.0,12.0,22.0,14.0,22.0,29.0,17.0,15.0,26.0,13.0,20.0,19.0,25.0,6.0,11.0,11.0,18.0,15.0,15.0,14.0,1.0,16.0,8.0,9.0,16.0,4.0,15.0,15.0,2.0,23.0,16.0,16.0,18.0,13.0,11.0,7.0,17.0,1.0,3.0,12.0,12.0,7.0,15.0,6.0,15.0,10.0,5.0,1.0,11.0,10.0,9.0,9.0,3.0,14.0,11.0,5.0,9.0,8.0,12.0,10.0,16.0,12.0,3.0,10.0,4.0,8.0,16.0,0.0,15.0,10.0,3.0,8.0,8.0,3.0,13.0,12.0,21.0,6.0,2.0,8.0,5.0,1.0,10.0,11.0,8.0,1.0,12.0,9.0
모션,85.0,43.0,45.0,37.0,44.0,49.0,39.0,30.0,43.0,22.0,26.0,29.0,25.0,13.0,37.0,21.0,27.0,24.0,15.0,20.0,29.0,25.0,28.0,35.0,33.0,13.0,18.0,17.0,20.0,19.0,22.0,16.0,2.0,28.0,8.0,24.0,12.0,10.0,22.0,23.0,7.0,19.0,18.0,18.0,15.0,17.0,20.0,5.0,16.0,2.0,6.0,13.0,11.0,11.0,25.0,9.0,12.0,16.0,9.0,9.0,10.0,11.0,11.0,4.0,5.0,13.0,12.0,7.0,15.0,8.0,14.0,11.0,23.0,10.0,4.0,10.0,8.0,6.0,18.0,15.0,0.0,12.0,5.0,17.0,10.0,5.0,13.0,18.0,12.0,11.0,8.0,7.0,4.0,8.0,15.0,10.0,12.0,3.0,9.0,16.0
